Run on (28 X 3300 MHz CPU s)
2018-04-18 10:19:19
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"ASSIGN SCALAR float 1D:/4096/1",25350,23480,23480.7,ns,,,,,
"ASSIGN SCALAR float 1D:/4096/2",33693,20777.2,20777.7,ns,,,,,
"ASSIGN SCALAR float 1D:/65536/1",29473,23869.6,23870.1,ns,,,,,
"ASSIGN SCALAR float 1D:/65536/2",29433,23517.8,23516.7,ns,,,,,
"ASSIGN SCALAR float 1D:/1048576/1",8879,79485.3,79487.7,ns,,,,,
"ASSIGN SCALAR float 1D:/1048576/2",8902,72960.3,72960.4,ns,,,,,
"ASSIGN SCALAR float 1D:/16777216/1",516,1.35167e+06,1.35163e+06,ns,,,,,
"ASSIGN SCALAR float 1D:/16777216/2",508,1.14921e+06,1.14487e+06,ns,,,,,
"ASSIGN SCALAR float 2D:/64/1",33988,20587.5,20588,ns,,,,,
"ASSIGN SCALAR float 2D:/64/2",34048,20568.8,20566.2,ns,,,,,
"ASSIGN SCALAR float 2D:/256/1",29896,23406.5,23406,ns,,,,,
"ASSIGN SCALAR float 2D:/256/2",29763,23392.3,23391.8,ns,,,,,
"ASSIGN SCALAR float 2D:/1024/1",10659,67139.2,67081.5,ns,,,,,
"ASSIGN SCALAR float 2D:/1024/2",10596,65575.8,65577.7,ns,,,,,
"ASSIGN SCALAR float 2D:/4096/1",513,1.26232e+06,1.25998e+06,ns,,,,,
"ASSIGN SCALAR float 2D:/4096/2",524,1.31266e+06,1.31261e+06,ns,,,,,
"ASSIGN SCALAR float 3D:/15/1",34382,20535.7,20535.8,ns,,,,,
"ASSIGN SCALAR float 3D:/15/2",33882,20663.8,20663.8,ns,,,,,
"ASSIGN SCALAR float 3D:/40/1",29436,23822.8,23823,ns,,,,,
"ASSIGN SCALAR float 3D:/40/2",29572,23752.9,23752.9,ns,,,,,
"ASSIGN SCALAR float 3D:/101/1",8887,78483,78482.8,ns,,,,,
"ASSIGN SCALAR float 3D:/101/2",8951,77888.1,77888.6,ns,,,,,
"ASSIGN SCALAR float 3D:/255/1",542,1.27341e+06,1.2734e+06,ns,,,,,
"ASSIGN SCALAR float 3D:/255/2",584,1.30465e+06,1.30464e+06,ns,,,,,
"ASSIGN SCALAR float 4D:/8/1",33768,20628,20628.4,ns,,,,,
"ASSIGN SCALAR float 4D:/8/2",33589,20800.3,20800.9,ns,,,,,
"ASSIGN SCALAR float 4D:/16/1",29315,23834.1,23834.8,ns,,,,,
"ASSIGN SCALAR float 4D:/16/2",29417,23791.5,23792,ns,,,,,
"ASSIGN SCALAR float 4D:/32/1",8938,78084.9,78085.8,ns,,,,,
"ASSIGN SCALAR float 4D:/32/2",8954,78003,78004.6,ns,,,,,
"ASSIGN SCALAR float 4D:/64/1",525,1.36205e+06,1.36187e+06,ns,,,,,
"ASSIGN SCALAR float 4D:/64/2",791,1.35289e+06,1.3529e+06,ns,,,,,
"ASSIGN SCALAR double 1D:/4096/1",33287,21048.4,21018.2,ns,,,,,
"ASSIGN SCALAR double 1D:/4096/2",33301,21045.7,21046.1,ns,,,,,
"ASSIGN SCALAR double 1D:/65536/1",25114,27764.8,27764.8,ns,,,,,
"ASSIGN SCALAR double 1D:/65536/2",25164,27655.9,27656.4,ns,,,,,
"ASSIGN SCALAR double 1D:/1048576/1",6247,110793,110788,ns,,,,,
"ASSIGN SCALAR double 1D:/1048576/2",6422,109374,109375,ns,,,,,
"ASSIGN SCALAR double 1D:/16777216/1",136,5.17501e+06,5.17356e+06,ns,,,,,
"ASSIGN SCALAR double 1D:/16777216/2",134,3.80074e+06,3.78222e+06,ns,,,,,
"ASSIGN SCALAR double 2D:/64/1",29377,21051.6,21052,ns,,,,,
"ASSIGN SCALAR double 2D:/64/2",33629,20856.3,20856.7,ns,,,,,
"ASSIGN SCALAR double 2D:/256/1",25477,27481.5,27482,ns,,,,,
"ASSIGN SCALAR double 2D:/256/2",25326,27533.2,27534,ns,,,,,
"ASSIGN SCALAR double 2D:/1024/1",6415,109779,109753,ns,,,,,
"ASSIGN SCALAR double 2D:/1024/2",6401,109928,109922,ns,,,,,
"ASSIGN SCALAR double 2D:/4096/1",100,5.19567e+06,5.19493e+06,ns,,,,,
"ASSIGN SCALAR double 2D:/4096/2",138,5.17832e+06,5.17629e+06,ns,,,,,
"ASSIGN SCALAR double 3D:/15/1",32939,20539.8,20539.7,ns,,,,,
"ASSIGN SCALAR double 3D:/15/2",33885,20659.4,20659.6,ns,,,,,
"ASSIGN SCALAR double 3D:/40/1",25306,27566.9,27567.3,ns,,,,,
"ASSIGN SCALAR double 3D:/40/2",25329,27564.4,27565,ns,,,,,
"ASSIGN SCALAR double 3D:/101/1",6374,109620,109623,ns,,,,,
"ASSIGN SCALAR double 3D:/101/2",6363,110105,110096,ns,,,,,
"ASSIGN SCALAR double 3D:/255/1",136,5.08398e+06,5.08342e+06,ns,,,,,
"ASSIGN SCALAR double 3D:/255/2",140,4.92837e+06,4.92764e+06,ns,,,,,
"ASSIGN SCALAR double 4D:/8/1",32044,20875.4,20875.5,ns,,,,,
"ASSIGN SCALAR double 4D:/8/2",33887,20795.9,20796.4,ns,,,,,
"ASSIGN SCALAR double 4D:/16/1",25903,26927.1,26926.7,ns,,,,,
"ASSIGN SCALAR double 4D:/16/2",26089,26683.2,26683.6,ns,,,,,
"ASSIGN SCALAR double 4D:/32/1",6674,104605,104607,ns,,,,,
"ASSIGN SCALAR double 4D:/32/2",6655,104525,104519,ns,,,,,
"ASSIGN SCALAR double 4D:/64/1",136,5.1601e+06,5.16024e+06,ns,,,,,
"ASSIGN SCALAR double 4D:/64/2",137,5.14826e+06,5.14751e+06,ns,,,,,
