Run on (28 X 3300 MHz CPU s)
2018-04-18 10:21:51
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"ASSIGN VEC float 1D:/4096/1",25285,23778.6,23779,ns,,,,,
"ASSIGN VEC float 1D:/4096/2",33589,20793.6,20794,ns,,,,,
"ASSIGN VEC float 1D:/65536/1",29530,23672.1,23672.5,ns,,,,,
"ASSIGN VEC float 1D:/65536/2",29290,23578.6,23579.3,ns,,,,,
"ASSIGN VEC float 1D:/1048576/1",8607,79193.5,79195.4,ns,,,,,
"ASSIGN VEC float 1D:/1048576/2",8574,82302.2,82303.6,ns,,,,,
"ASSIGN VEC float 1D:/16777216/1",296,3.33015e+06,3.32978e+06,ns,,,,,
"ASSIGN VEC float 1D:/16777216/2",206,3.08221e+06,3.07579e+06,ns,,,,,
"ASSIGN VEC float 2D:/64/1",34890,20646.3,20643.4,ns,,,,,
"ASSIGN VEC float 2D:/64/2",33784,20759,20759.5,ns,,,,,
"ASSIGN VEC float 2D:/256/1",29748,23543.6,23530.9,ns,,,,,
"ASSIGN VEC float 2D:/256/2",30177,23551.9,23552.6,ns,,,,,
"ASSIGN VEC float 2D:/1024/1",8768,80439.3,80441.6,ns,,,,,
"ASSIGN VEC float 2D:/1024/2",8662,81056,81057.4,ns,,,,,
"ASSIGN VEC float 2D:/4096/1",205,3.01424e+06,3.00271e+06,ns,,,,,
"ASSIGN VEC float 2D:/4096/2",206,2.94712e+06,2.93802e+06,ns,,,,,
"ASSIGN VEC float 3D:/15/1",33017,20620.5,20620.6,ns,,,,,
"ASSIGN VEC float 3D:/15/2",34002,20600.5,20600.4,ns,,,,,
"ASSIGN VEC float 3D:/40/1",29669,23702.4,23702.9,ns,,,,,
"ASSIGN VEC float 3D:/40/2",29510,23723.6,23724.1,ns,,,,,
"ASSIGN VEC float 3D:/101/1",8585,80220.1,80222.5,ns,,,,,
"ASSIGN VEC float 3D:/101/2",8530,80965.7,80965.4,ns,,,,,
"ASSIGN VEC float 3D:/255/1",210,3.29156e+06,3.29016e+06,ns,,,,,
"ASSIGN VEC float 3D:/255/2",258,3.33521e+06,3.33483e+06,ns,,,,,
"ASSIGN VEC float 4D:/8/1",33598,20522.9,20515.8,ns,,,,,
"ASSIGN VEC float 4D:/8/2",34069,20819.6,20820,ns,,,,,
"ASSIGN VEC float 4D:/16/1",29455,23815.4,23815.7,ns,,,,,
"ASSIGN VEC float 4D:/16/2",29571,23546.5,23546.8,ns,,,,,
"ASSIGN VEC float 4D:/32/1",8641,81195.1,81147.1,ns,,,,,
"ASSIGN VEC float 4D:/32/2",8614,80336,80307.2,ns,,,,,
"ASSIGN VEC float 4D:/64/1",205,3.32184e+06,3.32174e+06,ns,,,,,
"ASSIGN VEC float 4D:/64/2",203,3.36717e+06,3.36709e+06,ns,,,,,
"ASSIGN VEC double 1D:/4096/1",32211,20889.1,20889.4,ns,,,,,
"ASSIGN VEC double 1D:/4096/2",33556,20913.4,20913.6,ns,,,,,
"ASSIGN VEC double 1D:/65536/1",25845,27099,27099.6,ns,,,,,
"ASSIGN VEC double 1D:/65536/2",25784,27129.8,27130.4,ns,,,,,
"ASSIGN VEC double 1D:/1048576/1",5432,123586,123588,ns,,,,,
"ASSIGN VEC double 1D:/1048576/2",5586,124095,124001,ns,,,,,
"ASSIGN VEC double 1D:/16777216/1",85,7.94111e+06,7.94068e+06,ns,,,,,
"ASSIGN VEC double 1D:/16777216/2",83,7.84198e+06,7.84124e+06,ns,,,,,
"ASSIGN VEC double 2D:/64/1",31549,20981.8,20981.4,ns,,,,,
"ASSIGN VEC double 2D:/64/2",33435,20954.8,20954.6,ns,,,,,
"ASSIGN VEC double 2D:/256/1",25801,27079.2,27078.7,ns,,,,,
"ASSIGN VEC double 2D:/256/2",26182,26936.4,26936.2,ns,,,,,
"ASSIGN VEC double 2D:/1024/1",5456,127797,127796,ns,,,,,
"ASSIGN VEC double 2D:/1024/2",5636,124120,124118,ns,,,,,
"ASSIGN VEC double 2D:/4096/1",85,7.95206e+06,7.95167e+06,ns,,,,,
"ASSIGN VEC double 2D:/4096/2",85,7.7844e+06,7.77696e+06,ns,,,,,
"ASSIGN VEC double 3D:/15/1",30748,20852.2,20850.8,ns,,,,,
"ASSIGN VEC double 3D:/15/2",33383,20927.2,20926.5,ns,,,,,
"ASSIGN VEC double 3D:/40/1",25912,26949.6,26950,ns,,,,,
"ASSIGN VEC double 3D:/40/2",25916,27090.6,27080,ns,,,,,
"ASSIGN VEC double 3D:/101/1",5414,122440,122443,ns,,,,,
"ASSIGN VEC double 3D:/101/2",5533,122528,122528,ns,,,,,
"ASSIGN VEC double 3D:/255/1",87,7.6813e+06,7.68089e+06,ns,,,,,
"ASSIGN VEC double 3D:/255/2",87,7.67754e+06,7.67778e+06,ns,,,,,
"ASSIGN VEC double 4D:/8/1",31750,21117.3,21117.9,ns,,,,,
"ASSIGN VEC double 4D:/8/2",33089,21218.1,21195.5,ns,,,,,
"ASSIGN VEC double 4D:/16/1",25681,27280.8,27280.4,ns,,,,,
"ASSIGN VEC double 4D:/16/2",25360,27435.5,27436.2,ns,,,,,
"ASSIGN VEC double 4D:/32/1",5542,124009,124012,ns,,,,,
"ASSIGN VEC double 4D:/32/2",5694,122801,122802,ns,,,,,
"ASSIGN VEC double 4D:/64/1",85,7.82448e+06,7.8028e+06,ns,,,,,
"ASSIGN VEC double 4D:/64/2",85,7.95701e+06,7.95673e+06,ns,,,,,
