Run on (28 X 3300 MHz CPU s)
2018-04-18 10:23:46
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"AXPY float 1D:/4096/1",21621,27086.8,27086.6,ns,,,,,
"AXPY float 1D:/4096/2",29074,24085.8,24086.1,ns,,,,,
"AXPY float 1D:/65536/1",25236,27854.5,27854.9,ns,,,,,
"AXPY float 1D:/65536/2",25528,27591.2,27591.6,ns,,,,,
"AXPY float 1D:/1048576/1",8062,89051.1,89053.2,ns,,,,,
"AXPY float 1D:/1048576/2",7996,86171.1,86164.7,ns,,,,,
"AXPY float 1D:/16777216/1",204,3.38645e+06,3.38621e+06,ns,,,,,
"AXPY float 1D:/16777216/2",221,3.37993e+06,3.37988e+06,ns,,,,,
"AXPY float 2D:/64/1",29901,23485.3,23484.9,ns,,,,,
"AXPY float 2D:/64/2",29603,23649.5,23649.6,ns,,,,,
"AXPY float 2D:/256/1",25950,26860.7,26861.3,ns,,,,,
"AXPY float 2D:/256/2",26134,26747.6,26747.9,ns,,,,,
"AXPY float 2D:/1024/1",8211,86239.7,86233.6,ns,,,,,
"AXPY float 2D:/1024/2",8113,89846.6,89725,ns,,,,,
"AXPY float 2D:/4096/1",226,3.35725e+06,3.35624e+06,ns,,,,,
"AXPY float 2D:/4096/2",258,3.37825e+06,3.37823e+06,ns,,,,,
"AXPY float 3D:/15/1",29514,23714.8,23715.5,ns,,,,,
"AXPY float 3D:/15/2",29526,23627.4,23625.4,ns,,,,,
"AXPY float 3D:/40/1",25638,27272.8,27273.6,ns,,,,,
"AXPY float 3D:/40/2",25553,27253.3,27254.1,ns,,,,,
"AXPY float 3D:/101/1",8084,87497.7,87498.9,ns,,,,,
"AXPY float 3D:/101/2",8119,86206.8,86208.5,ns,,,,,
"AXPY float 3D:/255/1",206,3.10034e+06,3.09261e+06,ns,,,,,
"AXPY float 3D:/255/2",208,3.32533e+06,3.32543e+06,ns,,,,,
"AXPY float 4D:/8/1",28723,23656.5,23657.2,ns,,,,,
"AXPY float 4D:/8/2",29423,23835.2,23835.8,ns,,,,,
"AXPY float 4D:/16/1",25399,27648.9,27649.8,ns,,,,,
"AXPY float 4D:/16/2",25829,27135.5,27135.5,ns,,,,,
"AXPY float 4D:/32/1",8121,75608.9,75610,ns,,,,,
"AXPY float 4D:/32/2",8037,88170.8,88150.2,ns,,,,,
"AXPY float 4D:/64/1",210,3.38783e+06,3.38632e+06,ns,,,,,
"AXPY float 4D:/64/2",203,3.34358e+06,3.33438e+06,ns,,,,,
"AXPY double 1D:/4096/1",28474,23930.1,23930.7,ns,,,,,
"AXPY double 1D:/4096/2",29295,23971.3,23970.9,ns,,,,,
"AXPY double 1D:/65536/1",21739,32281.7,32280.2,ns,,,,,
"AXPY double 1D:/65536/2",21713,32176,32176.9,ns,,,,,
"AXPY double 1D:/1048576/1",5524,126291,126295,ns,,,,,
"AXPY double 1D:/1048576/2",5538,129371,129373,ns,,,,,
"AXPY double 1D:/16777216/1",86,7.86553e+06,7.86246e+06,ns,,,,,
"AXPY double 1D:/16777216/2",85,7.86291e+06,7.85958e+06,ns,,,,,
"AXPY double 2D:/64/1",28050,23671.2,23671.9,ns,,,,,
"AXPY double 2D:/64/2",29704,23634.9,23635.6,ns,,,,,
"AXPY double 2D:/256/1",21941,31975,31976,ns,,,,,
"AXPY double 2D:/256/2",20731,31450.8,31449.8,ns,,,,,
"AXPY double 2D:/1024/1",5625,128737,128738,ns,,,,,
"AXPY double 2D:/1024/2",5268,129639,129455,ns,,,,,
"AXPY double 2D:/4096/1",86,7.90638e+06,7.90612e+06,ns,,,,,
"AXPY double 2D:/4096/2",87,7.27953e+06,7.27036e+06,ns,,,,,
"AXPY double 3D:/15/1",27693,23578.9,23579.4,ns,,,,,
"AXPY double 3D:/15/2",29540,23699.1,23699.8,ns,,,,,
"AXPY double 3D:/40/1",22200,31646.3,31645.9,ns,,,,,
"AXPY double 3D:/40/2",22144,31755.4,31755.5,ns,,,,,
"AXPY double 3D:/101/1",5642,129363,129366,ns,,,,,
"AXPY double 3D:/101/2",5472,124946,124943,ns,,,,,
"AXPY double 3D:/255/1",86,6.47324e+06,6.45313e+06,ns,,,,,
"AXPY double 3D:/255/2",87,7.1667e+06,7.11255e+06,ns,,,,,
"AXPY double 4D:/8/1",26862,23864.7,23861.5,ns,,,,,
"AXPY double 4D:/8/2",29225,23881.9,23882.3,ns,,,,,
"AXPY double 4D:/16/1",22281,31333.2,31332.1,ns,,,,,
"AXPY double 4D:/16/2",22239,31585.9,31586.1,ns,,,,,
"AXPY double 4D:/32/1",5721,122625,122605,ns,,,,,
"AXPY double 4D:/32/2",5406,119224,119148,ns,,,,,
"AXPY double 4D:/64/1",85,7.80906e+06,7.80431e+06,ns,,,,,
"AXPY double 4D:/64/2",84,6.52563e+06,6.50085e+06,ns,,,,,
