Run on (28 X 3300 MHz CPU s)
2018-04-18 10:25:10
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"DOT float 1D:/4096/1",23336,25550.7,25546.9,ns,,,,,
"DOT float 1D:/4096/2",31047,22429.6,22428.7,ns,,,,,
"DOT float 1D:/65536/1",26261,26694.3,26694.3,ns,,,,,
"DOT float 1D:/65536/2",25954,26734.1,26734,ns,,,,,
"DOT float 1D:/1048576/1",9570,72463.3,72462.7,ns,,,,,
"DOT float 1D:/1048576/2",9602,73896.9,73865.9,ns,,,,,
"DOT float 1D:/16777216/1",322,1.78084e+06,1.78083e+06,ns,,,,,
"DOT float 1D:/16777216/2",320,2.03125e+06,2.02673e+06,ns,,,,,
"DOT float 2D:/64/1",28867,24014.2,24014.6,ns,,,,,
"DOT float 2D:/64/2",29302,23923,23923.6,ns,,,,,
"DOT float 2D:/256/1",25105,28010,28010.3,ns,,,,,
"DOT float 2D:/256/2",24941,28095.9,28096.4,ns,,,,,
"DOT float 2D:/1024/1",9492,73710.7,73712.4,ns,,,,,
"DOT float 2D:/1024/2",9469,73734,73733.8,ns,,,,,
"DOT float 2D:/4096/1",321,1.96117e+06,1.95872e+06,ns,,,,,
"DOT float 2D:/4096/2",322,2.08726e+06,2.08363e+06,ns,,,,,
"DOT float 3D:/15/1",27309,23839.9,23792,ns,,,,,
"DOT float 3D:/15/2",29373,23771.8,23772.3,ns,,,,,
"DOT float 3D:/40/1",25165,27751.9,27752.6,ns,,,,,
"DOT float 3D:/40/2",25279,27705.3,27705.7,ns,,,,,
"DOT float 3D:/101/1",9600,72429.1,72429.3,ns,,,,,
"DOT float 3D:/101/2",9594,72274.9,72274.9,ns,,,,,
"DOT float 3D:/255/1",328,2.09057e+06,2.09045e+06,ns,,,,,
"DOT float 3D:/255/2",325,2.08952e+06,2.08927e+06,ns,,,,,
"DOT float 4D:/8/1",27823,23884.6,23865.4,ns,,,,,
"DOT float 4D:/8/2",25870,24184.4,24181.1,ns,,,,,
"DOT float 4D:/16/1",24875,28058.2,28058.2,ns,,,,,
"DOT float 4D:/16/2",24884,28094.3,28094.7,ns,,,,,
"DOT float 4D:/32/1",9485,73489.4,73491.2,ns,,,,,
"DOT float 4D:/32/2",9512,73494.2,73494.6,ns,,,,,
"DOT float 4D:/64/1",322,2.11328e+06,2.11314e+06,ns,,,,,
"DOT float 4D:/64/2",318,2.11377e+06,2.11368e+06,ns,,,,,
"DOT double 1D:/4096/1",29255,23587.2,23587.1,ns,,,,,
"DOT double 1D:/4096/2",29700,23616.7,23616.9,ns,,,,,
"DOT double 1D:/65536/1",25126,27436.7,27436.6,ns,,,,,
"DOT double 1D:/65536/2",25442,27529.9,27527.9,ns,,,,,
"DOT double 1D:/1048576/1",9305,74000.4,74001.9,ns,,,,,
"DOT double 1D:/1048576/2",9390,73905.6,73904,ns,,,,,
"DOT double 1D:/16777216/1",120,5.15841e+06,5.1583e+06,ns,,,,,
"DOT double 1D:/16777216/2",118,5.17349e+06,5.17325e+06,ns,,,,,
"DOT double 2D:/64/1",27256,23559.9,23560.2,ns,,,,,
"DOT double 2D:/64/2",29670,23654,23654,ns,,,,,
"DOT double 2D:/256/1",25409,27360.5,27360.8,ns,,,,,
"DOT double 2D:/256/2",25664,27381,27381.1,ns,,,,,
"DOT double 2D:/1024/1",9432,73601.5,73601.1,ns,,,,,
"DOT double 2D:/1024/2",9427,73358.4,73357.4,ns,,,,,
"DOT double 2D:/4096/1",118,5.24391e+06,5.24313e+06,ns,,,,,
"DOT double 2D:/4096/2",120,5.13092e+06,5.1304e+06,ns,,,,,
"DOT double 3D:/15/1",27413,23741.6,23741.6,ns,,,,,
"DOT double 3D:/15/2",29309,23813.5,23813.7,ns,,,,,
"DOT double 3D:/40/1",25545,27364.8,27364.8,ns,,,,,
"DOT double 3D:/40/2",26075,27404.1,27330.1,ns,,,,,
"DOT double 3D:/101/1",9409,73025.4,73015.9,ns,,,,,
"DOT double 3D:/101/2",9293,73329.1,73331.3,ns,,,,,
"DOT double 3D:/255/1",121,5.11285e+06,5.113e+06,ns,,,,,
"DOT double 3D:/255/2",120,5.13458e+06,5.13473e+06,ns,,,,,
"DOT double 4D:/8/1",26975,23970,23970.6,ns,,,,,
"DOT double 4D:/8/2",29322,23975.2,23975.9,ns,,,,,
"DOT double 4D:/16/1",24976,27772.9,27773.8,ns,,,,,
"DOT double 4D:/16/2",25102,27820.1,27820.9,ns,,,,,
"DOT double 4D:/32/1",9393,73958.1,73958.2,ns,,,,,
"DOT double 4D:/32/2",9384,73720.7,73722.4,ns,,,,,
"DOT double 4D:/64/1",118,5.19606e+06,5.19621e+06,ns,,,,,
"DOT double 4D:/64/2",120,5.17078e+06,5.17093e+06,ns,,,,,
