Run on (28 X 3300 MHz CPU s)
2018-04-18 10:28:40
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"SQ float 1D:/4096/1",23682,25088.8,25088.8,ns,,,,,
"SQ float 1D:/4096/2",31465,22163.2,22163.6,ns,,,,,
"SQ float 1D:/65536/1",26084,26757.3,26757.8,ns,,,,,
"SQ float 1D:/65536/2",26158,26641.5,26641.8,ns,,,,,
"SQ float 1D:/1048576/1",9629,72455.6,72455,ns,,,,,
"SQ float 1D:/1048576/2",9646,72719.6,72721.1,ns,,,,,
"SQ float 1D:/16777216/1",796,837669,837100,ns,,,,,
"SQ float 1D:/16777216/2",831,814233,813191,ns,,,,,
"SQ float 2D:/64/1",31925,21958.4,21958.5,ns,,,,,
"SQ float 2D:/64/2",31951,21985.7,21986.2,ns,,,,,
"SQ float 2D:/256/1",26328,26541.8,26540.3,ns,,,,,
"SQ float 2D:/256/2",26181,26524,26522.3,ns,,,,,
"SQ float 2D:/1024/1",9571,72394.7,72396.5,ns,,,,,
"SQ float 2D:/1024/2",9674,72286.8,72288.4,ns,,,,,
"SQ float 2D:/4096/1",810,811241,811222,ns,,,,,
"SQ float 2D:/4096/2",768,805051,805060,ns,,,,,
"SQ float 3D:/15/1",32505,21458.8,21445.8,ns,,,,,
"SQ float 3D:/15/2",32417,21624.7,21623.9,ns,,,,,
"SQ float 3D:/40/1",26256,26626.9,26618.5,ns,,,,,
"SQ float 3D:/40/2",26329,26345.6,26345.9,ns,,,,,
"SQ float 3D:/101/1",9770,71913.3,71904.8,ns,,,,,
"SQ float 3D:/101/2",9492,72408.6,72410.2,ns,,,,,
"SQ float 3D:/255/1",808,816212,816220,ns,,,,,
"SQ float 3D:/255/2",614,885807,885681,ns,,,,,
"SQ float 4D:/8/1",28591,21834.5,21834.7,ns,,,,,
"SQ float 4D:/8/2",32718,21472.6,21472.7,ns,,,,,
"SQ float 4D:/16/1",26783,26184.2,26184.1,ns,,,,,
"SQ float 4D:/16/2",26876,26095.1,26095.3,ns,,,,,
"SQ float 4D:/32/1",9675,72073.8,72072.6,ns,,,,,
"SQ float 4D:/32/2",9693,71980.3,71979.7,ns,,,,,
"SQ float 4D:/64/1",608,914505,914499,ns,,,,,
"SQ float 4D:/64/2",612,919835,919816,ns,,,,,
"SQ double 1D:/4096/1",28530,21832.9,21833.5,ns,,,,,
"SQ double 1D:/4096/2",32431,21532.5,21533.2,ns,,,,,
"SQ double 1D:/65536/1",26722,26232.9,26233.7,ns,,,,,
"SQ double 1D:/65536/2",26597,26171.2,26171.7,ns,,,,,
"SQ double 1D:/1048576/1",9663,72409.6,72410.2,ns,,,,,
"SQ double 1D:/1048576/2",9645,71978.4,71979.3,ns,,,,,
"SQ double 1D:/16777216/1",318,2.13467e+06,2.13463e+06,ns,,,,,
"SQ double 1D:/16777216/2",319,2.13164e+06,2.13165e+06,ns,,,,,
"SQ double 2D:/64/1",31535,21722.2,21722.7,ns,,,,,
"SQ double 2D:/64/2",32349,21682.7,21682.4,ns,,,,,
"SQ double 2D:/256/1",26647,26419.1,26419.9,ns,,,,,
"SQ double 2D:/256/2",26618,26353.9,26354.7,ns,,,,,
"SQ double 2D:/1024/1",9660,72023,72024.3,ns,,,,,
"SQ double 2D:/1024/2",9603,72034.7,72036.8,ns,,,,,
"SQ double 2D:/4096/1",315,2.12996e+06,2.12997e+06,ns,,,,,
"SQ double 2D:/4096/2",317,2.14003e+06,2.14004e+06,ns,,,,,
"SQ double 3D:/15/1",30886,21540.7,21541,ns,,,,,
"SQ double 3D:/15/2",32530,21609.2,21609.7,ns,,,,,
"SQ double 3D:/40/1",26789,26124,26124.8,ns,,,,,
"SQ double 3D:/40/2",26773,26095.2,26096,ns,,,,,
"SQ double 3D:/101/1",9365,72040.9,72042.6,ns,,,,,
"SQ double 3D:/101/2",9783,71779,71780.6,ns,,,,,
"SQ double 3D:/255/1",321,2.10029e+06,2.10035e+06,ns,,,,,
"SQ double 3D:/255/2",322,2.09987e+06,2.09993e+06,ns,,,,,
"SQ double 4D:/8/1",31398,21506.9,21507.4,ns,,,,,
"SQ double 4D:/8/2",32512,21507.4,21508,ns,,,,,
"SQ double 4D:/16/1",26755,26079.8,26080.5,ns,,,,,
"SQ double 4D:/16/2",26809,26218.4,26211,ns,,,,,
"SQ double 4D:/32/1",9123,72250.7,72251.8,ns,,,,,
"SQ double 4D:/32/2",9658,71868.4,71870.5,ns,,,,,
"SQ double 4D:/64/1",318,2.13777e+06,2.13783e+06,ns,,,,,
"SQ double 4D:/64/2",317,2.12615e+06,2.12621e+06,ns,,,,,
