Run on (28 X 3300 MHz CPU s)
2018-04-18 10:30:02
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"STENCIL CORE APPLY float 1D:/4096/1",37092,16291.1,16291.2,ns,,,,,
"STENCIL CORE APPLY float 1D:/4096/2",32646,21438.4,21439,ns,,,,,
"STENCIL CORE APPLY float 1D:/65536/1",19530,33064.5,31201,ns,,,,,
"STENCIL CORE APPLY float 1D:/65536/2",15181,47857.1,45655.8,ns,,,,,
"STENCIL CORE APPLY float 1D:/1048576/1",3461,171673,171673,ns,,,,,
"STENCIL CORE APPLY float 1D:/1048576/2",2590,271067,271071,ns,,,,,
"STENCIL CORE APPLY float 1D:/16777216/1",189,3.53978e+06,3.53976e+06,ns,,,,,
"STENCIL CORE APPLY float 1D:/16777216/2",141,4.81661e+06,4.81596e+06,ns,,,,,
"STENCIL CORE APPLY float 2D:/64/1",18902,37169.3,37170.2,ns,,,,,
"STENCIL CORE APPLY float 2D:/64/2",8021,87663.5,87664.6,ns,,,,,
"STENCIL CORE APPLY float 2D:/256/1",6689,76894,75301.2,ns,,,,,
"STENCIL CORE APPLY float 2D:/256/2",4683,145141,143660,ns,,,,,
"STENCIL CORE APPLY float 2D:/1024/1",1561,447871,447875,ns,,,,,
"STENCIL CORE APPLY float 2D:/1024/2",608,1.15352e+06,1.15132e+06,ns,,,,,
"STENCIL CORE APPLY float 2D:/4096/1",62,8.24295e+06,8.24255e+06,ns,,,,,
"STENCIL CORE APPLY float 2D:/4096/2",26,2.50127e+07,2.50091e+07,ns,,,,,
"STENCIL CORE APPLY float 3D:/15/1",11843,59133.1,59134.4,ns,,,,,
"STENCIL CORE APPLY float 3D:/15/2",4650,151070,151072,ns,,,,,
"STENCIL CORE APPLY float 3D:/40/1",3322,186865,182537,ns,,,,,
"STENCIL CORE APPLY float 3D:/40/2",1341,523674,523680,ns,,,,,
"STENCIL CORE APPLY float 3D:/101/1",584,1.19858e+06,1.19754e+06,ns,,,,,
"STENCIL CORE APPLY float 3D:/101/2",150,4.68937e+06,4.68947e+06,ns,,,,,
"STENCIL CORE APPLY float 3D:/255/1",31,1.94014e+07,1.94017e+07,ns,,,,,
"STENCIL CORE APPLY float 3D:/255/2",6,9.40964e+07,9.40972e+07,ns,,,,,
"STENCIL CORE APPLY float 4D:/8/1",7000,102003,102006,ns,,,,,
"STENCIL CORE APPLY float 4D:/8/2",4755,146415,146419,ns,,,,,
"STENCIL CORE APPLY float 4D:/16/1",2057,325659,325576,ns,,,,,
"STENCIL CORE APPLY float 4D:/16/2",161,4.60407e+06,4.60406e+06,ns,,,,,
"STENCIL CORE APPLY float 4D:/32/1",191,3.23868e+06,3.23878e+06,ns,,,,,
"STENCIL CORE APPLY float 4D:/32/2",43,1.64131e+07,1.64018e+07,ns,,,,,
"STENCIL CORE APPLY float 4D:/64/1",11,6.05867e+07,6.05874e+07,ns,,,,,
"STENCIL CORE APPLY float 4D:/64/2",1,5.66035e+08,5.66046e+08,ns,,,,,
"STENCIL CORE APPLY double 1D:/4096/1",49147,14295.1,14295.3,ns,,,,,
"STENCIL CORE APPLY double 1D:/4096/2",32611,21460.3,21460.8,ns,,,,,
"STENCIL CORE APPLY double 1D:/65536/1",19684,34013.4,31886.7,ns,,,,,
"STENCIL CORE APPLY double 1D:/65536/2",16571,46131.7,43102.3,ns,,,,,
"STENCIL CORE APPLY double 1D:/1048576/1",2064,340764,340747,ns,,,,,
"STENCIL CORE APPLY double 1D:/1048576/2",1825,392589,392546,ns,,,,,
"STENCIL CORE APPLY double 1D:/16777216/1",84,7.85773e+06,7.85731e+06,ns,,,,,
"STENCIL CORE APPLY double 1D:/16777216/2",78,8.06651e+06,8.06615e+06,ns,,,,,
"STENCIL CORE APPLY double 2D:/64/1",18876,37102.3,37103,ns,,,,,
"STENCIL CORE APPLY double 2D:/64/2",7980,87734.4,87737,ns,,,,,
"STENCIL CORE APPLY double 2D:/256/1",6658,80387.7,78527,ns,,,,,
"STENCIL CORE APPLY double 2D:/256/2",4479,152243,150875,ns,,,,,
"STENCIL CORE APPLY double 2D:/1024/1",1397,495386,495383,ns,,,,,
"STENCIL CORE APPLY double 2D:/1024/2",541,1.29911e+06,1.2975e+06,ns,,,,,
"STENCIL CORE APPLY double 2D:/4096/1",62,8.99318e+06,8.98997e+06,ns,,,,,
"STENCIL CORE APPLY double 2D:/4096/2",26,2.50723e+07,2.50694e+07,ns,,,,,
"STENCIL CORE APPLY double 3D:/15/1",13475,51840.8,51842,ns,,,,,
"STENCIL CORE APPLY double 3D:/15/2",4696,149148,149150,ns,,,,,
"STENCIL CORE APPLY double 3D:/40/1",3590,171531,168913,ns,,,,,
"STENCIL CORE APPLY double 3D:/40/2",1284,602636,602643,ns,,,,,
"STENCIL CORE APPLY double 3D:/101/1",613,1.14235e+06,1.14075e+06,ns,,,,,
"STENCIL CORE APPLY double 3D:/101/2",150,4.6553e+06,4.65544e+06,ns,,,,,
"STENCIL CORE APPLY double 3D:/255/1",30,2.32706e+07,2.32713e+07,ns,,,,,
"STENCIL CORE APPLY double 3D:/255/2",5,1.01204e+08,1.01206e+08,ns,,,,,
"STENCIL CORE APPLY double 4D:/8/1",6899,101414,101417,ns,,,,,
"STENCIL CORE APPLY double 4D:/8/2",4779,146957,146961,ns,,,,,
"STENCIL CORE APPLY double 4D:/16/1",2054,296273,296150,ns,,,,,
"STENCIL CORE APPLY double 4D:/16/2",186,4.65439e+06,4.6545e+06,ns,,,,,
"STENCIL CORE APPLY double 4D:/32/1",191,3.21559e+06,3.21565e+06,ns,,,,,
"STENCIL CORE APPLY double 4D:/32/2",37,1.92474e+07,1.92194e+07,ns,,,,,
"STENCIL CORE APPLY double 4D:/64/1",8,7.16056e+07,7.1596e+07,ns,,,,,
"STENCIL CORE APPLY double 4D:/64/2",1,6.20008e+08,6.2002e+08,ns,,,,,
