Run on (28 X 3300 MHz CPU s)
2018-04-18 10:32:20
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"STENCIL SHELL APPLY float 1D:/4096/1",344442,1661.48,1633.1,ns,,,,,
"STENCIL SHELL APPLY float 1D:/4096/2",465168,1548.97,1523.42,ns,,,,,
"STENCIL SHELL APPLY float 1D:/65536/1",463235,1534.37,1509.08,ns,,,,,
"STENCIL SHELL APPLY float 1D:/65536/2",432741,1629.87,1603.72,ns,,,,,
"STENCIL SHELL APPLY float 1D:/1048576/1",467808,1504.26,1473.42,ns,,,,,
"STENCIL SHELL APPLY float 1D:/1048576/2",493319,1447.6,1419.89,ns,,,,,
"STENCIL SHELL APPLY float 1D:/16777216/1",491508,1368.98,1353.59,ns,,,,,
"STENCIL SHELL APPLY float 1D:/16777216/2",455250,1473.01,1456.69,ns,,,,,
"STENCIL SHELL APPLY float 2D:/64/1",62115,10086.8,9979.27,ns,,,,,
"STENCIL SHELL APPLY float 2D:/64/2",31409,23193,22336.4,ns,,,,,
"STENCIL SHELL APPLY float 2D:/256/1",36175,20468.3,19673.1,ns,,,,,
"STENCIL SHELL APPLY float 2D:/256/2",10228,70749,69711.9,ns,,,,,
"STENCIL SHELL APPLY float 2D:/1024/1",10918,62273.7,61939.4,ns,,,,,
"STENCIL SHELL APPLY float 2D:/1024/2",2855,246300,246298,ns,,,,,
"STENCIL SHELL APPLY float 2D:/4096/1",757,786303,786305,ns,,,,,
"STENCIL SHELL APPLY float 2D:/4096/2",304,2.26161e+06,2.26163e+06,ns,,,,,
"STENCIL SHELL APPLY float 3D:/15/1",10504,52853.3,50699,ns,,,,,
"STENCIL SHELL APPLY float 3D:/15/2",2993,207835,207818,ns,,,,,
"STENCIL SHELL APPLY float 3D:/40/1",2468,282766,282736,ns,,,,,
"STENCIL SHELL APPLY float 3D:/40/2",294,3.89534e+06,3.89543e+06,ns,,,,,
"STENCIL SHELL APPLY float 3D:/101/1",193,3.58066e+06,3.58076e+06,ns,,,,,
"STENCIL SHELL APPLY float 3D:/101/2",23,3.03204e+07,3.03211e+07,ns,,,,,
"STENCIL SHELL APPLY float 3D:/255/1",29,2.36632e+07,2.36635e+07,ns,,,,,
"STENCIL SHELL APPLY float 3D:/255/2",5,1.54617e+08,1.54618e+08,ns,,,,,
"STENCIL SHELL APPLY float 4D:/8/1",2738,227840,226138,ns,,,,,
"STENCIL SHELL APPLY float 4D:/8/2",625,1.12371e+06,1.12373e+06,ns,,,,,
"STENCIL SHELL APPLY float 4D:/16/1",305,2.19867e+06,2.19874e+06,ns,,,,,
"STENCIL SHELL APPLY float 4D:/16/2",18,3.96965e+07,3.96977e+07,ns,,,,,
"STENCIL SHELL APPLY float 4D:/32/1",18,3.80778e+07,3.80787e+07,ns,,,,,
"STENCIL SHELL APPLY float 4D:/32/2",2,2.93881e+08,2.93887e+08,ns,,,,,
"STENCIL SHELL APPLY float 4D:/64/1",3,2.20218e+08,2.20222e+08,ns,,,,,
"STENCIL SHELL APPLY float 4D:/64/2",1,2.88584e+09,2.88017e+09,ns,,,,,
"STENCIL SHELL APPLY double 1D:/4096/1",551949,1233.58,1221.45,ns,,,,,
"STENCIL SHELL APPLY double 1D:/4096/2",511685,1409.54,1394.56,ns,,,,,
"STENCIL SHELL APPLY double 1D:/65536/1",540148,1292.43,1279.23,ns,,,,,
"STENCIL SHELL APPLY double 1D:/65536/2",537730,1388.15,1373.16,ns,,,,,
"STENCIL SHELL APPLY double 1D:/1048576/1",602310,1197.71,1189.43,ns,,,,,
"STENCIL SHELL APPLY double 1D:/1048576/2",537173,1245.35,1237.15,ns,,,,,
"STENCIL SHELL APPLY double 1D:/16777216/1",483955,1309.5,1300.95,ns,,,,,
"STENCIL SHELL APPLY double 1D:/16777216/2",466967,1554.23,1545.94,ns,,,,,
"STENCIL SHELL APPLY double 2D:/64/1",64688,9605.79,9569.9,ns,,,,,
"STENCIL SHELL APPLY double 2D:/64/2",32263,21792.6,21622.5,ns,,,,,
"STENCIL SHELL APPLY double 2D:/256/1",35087,20090.5,19945.8,ns,,,,,
"STENCIL SHELL APPLY double 2D:/256/2",10330,69317.1,69121.7,ns,,,,,
"STENCIL SHELL APPLY double 2D:/1024/1",11308,60403.6,60356.5,ns,,,,,
"STENCIL SHELL APPLY double 2D:/1024/2",2850,254497,254496,ns,,,,,
"STENCIL SHELL APPLY double 2D:/4096/1",725,825002,824996,ns,,,,,
"STENCIL SHELL APPLY double 2D:/4096/2",306,2.13085e+06,2.13085e+06,ns,,,,,
"STENCIL SHELL APPLY double 3D:/15/1",10055,51623.5,51156.9,ns,,,,,
"STENCIL SHELL APPLY double 3D:/15/2",2873,242375,242379,ns,,,,,
"STENCIL SHELL APPLY double 3D:/40/1",2445,286585,286590,ns,,,,,
"STENCIL SHELL APPLY double 3D:/40/2",182,4.2436e+06,4.24369e+06,ns,,,,,
"STENCIL SHELL APPLY double 3D:/101/1",191,3.63491e+06,3.63501e+06,ns,,,,,
"STENCIL SHELL APPLY double 3D:/101/2",23,3.00496e+07,3.00505e+07,ns,,,,,
"STENCIL SHELL APPLY double 3D:/255/1",29,2.3558e+07,2.35584e+07,ns,,,,,
"STENCIL SHELL APPLY double 3D:/255/2",5,1.51188e+08,1.5119e+08,ns,,,,,
"STENCIL SHELL APPLY double 4D:/8/1",2834,220991,220607,ns,,,,,
"STENCIL SHELL APPLY double 4D:/8/2",632,1.1025e+06,1.10253e+06,ns,,,,,
"STENCIL SHELL APPLY double 4D:/16/1",315,1.99196e+06,1.99202e+06,ns,,,,,
"STENCIL SHELL APPLY double 4D:/16/2",36,1.92455e+07,1.92459e+07,ns,,,,,
"STENCIL SHELL APPLY double 4D:/32/1",18,3.8344e+07,3.83449e+07,ns,,,,,
"STENCIL SHELL APPLY double 4D:/32/2",2,3.24814e+08,3.2482e+08,ns,,,,,
"STENCIL SHELL APPLY double 4D:/64/1",2,3.01614e+08,3.01619e+08,ns,,,,,
"STENCIL SHELL APPLY double 4D:/64/2",1,3.21019e+09,3.21027e+09,ns,,,,,
