Run on (48 X 3300 MHz CPU s)
2018-04-18 10:46:54
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"ASSIGN SCALAR float 1D:/4096/1",30639,20915.4,20915,ns,,,,,
"ASSIGN SCALAR float 1D:/4096/2",33721,20720.3,20719.2,ns,,,,,
"ASSIGN SCALAR float 1D:/65536/1",29069,24086.7,24086.8,ns,,,,,
"ASSIGN SCALAR float 1D:/65536/2",29219,24073,23994.7,ns,,,,,
"ASSIGN SCALAR float 1D:/1048576/1",10546,65856,65803.9,ns,,,,,
"ASSIGN SCALAR float 1D:/1048576/2",10554,69291.8,69212.3,ns,,,,,
"ASSIGN SCALAR float 1D:/16777216/1",596,1.12054e+06,1.11816e+06,ns,,,,,
"ASSIGN SCALAR float 1D:/16777216/2",582,1.17154e+06,1.17137e+06,ns,,,,,
"ASSIGN SCALAR float 2D:/64/1",33617,20903.6,20901.4,ns,,,,,
"ASSIGN SCALAR float 2D:/64/2",33672,20783.2,20782.8,ns,,,,,
"ASSIGN SCALAR float 2D:/256/1",28967,25059.9,25046.3,ns,,,,,
"ASSIGN SCALAR float 2D:/256/2",27995,25455.5,25451.5,ns,,,,,
"ASSIGN SCALAR float 2D:/1024/1",10551,66216.7,66217.2,ns,,,,,
"ASSIGN SCALAR float 2D:/1024/2",10734,68163.6,68156.7,ns,,,,,
"ASSIGN SCALAR float 2D:/4096/1",564,1.10448e+06,1.10119e+06,ns,,,,,
"ASSIGN SCALAR float 2D:/4096/2",544,1.24687e+06,1.24685e+06,ns,,,,,
"ASSIGN SCALAR float 3D:/15/1",33850,20459.9,20415.4,ns,,,,,
"ASSIGN SCALAR float 3D:/15/2",34312,20403.6,20403.4,ns,,,,,
"ASSIGN SCALAR float 3D:/40/1",27364,24745.1,24745.1,ns,,,,,
"ASSIGN SCALAR float 3D:/40/2",28594,24387.1,24385.5,ns,,,,,
"ASSIGN SCALAR float 3D:/101/1",10268,66063.8,66059.8,ns,,,,,
"ASSIGN SCALAR float 3D:/101/2",10834,66268.9,66265.4,ns,,,,,
"ASSIGN SCALAR float 3D:/255/1",616,1.13532e+06,1.13471e+06,ns,,,,,
"ASSIGN SCALAR float 3D:/255/2",605,1.17237e+06,1.17166e+06,ns,,,,,
"ASSIGN SCALAR float 4D:/8/1",33030,20898.9,20897.1,ns,,,,,
"ASSIGN SCALAR float 4D:/8/2",33969,20721.6,20721,ns,,,,,
"ASSIGN SCALAR float 4D:/16/1",27946,24076.7,24075.6,ns,,,,,
"ASSIGN SCALAR float 4D:/16/2",28915,24000.7,23999.3,ns,,,,,
"ASSIGN SCALAR float 4D:/32/1",10835,66151.1,66147,ns,,,,,
"ASSIGN SCALAR float 4D:/32/2",10176,65656.2,65651,ns,,,,,
"ASSIGN SCALAR float 4D:/64/1",514,1.21513e+06,1.21458e+06,ns,,,,,
"ASSIGN SCALAR float 4D:/64/2",554,1.24948e+06,1.24868e+06,ns,,,,,
"ASSIGN SCALAR double 1D:/4096/1",33006,20746.1,20743.4,ns,,,,,
"ASSIGN SCALAR double 1D:/4096/2",33262,20711.2,20710.6,ns,,,,,
"ASSIGN SCALAR double 1D:/65536/1",26358,26541.4,26540.4,ns,,,,,
"ASSIGN SCALAR double 1D:/65536/2",26238,27045.2,27044.3,ns,,,,,
"ASSIGN SCALAR double 1D:/1048576/1",6542,111334,111320,ns,,,,,
"ASSIGN SCALAR double 1D:/1048576/2",6421,109545,109534,ns,,,,,
"ASSIGN SCALAR double 1D:/16777216/1",134,5.15822e+06,5.15589e+06,ns,,,,,
"ASSIGN SCALAR double 1D:/16777216/2",136,5.20401e+06,5.20354e+06,ns,,,,,
"ASSIGN SCALAR double 2D:/64/1",33237,21379.5,21379,ns,,,,,
"ASSIGN SCALAR double 2D:/64/2",33715,20632.8,20631.6,ns,,,,,
"ASSIGN SCALAR double 2D:/256/1",26185,26807.9,26807.6,ns,,,,,
"ASSIGN SCALAR double 2D:/256/2",26274,26677.2,26676.8,ns,,,,,
