Run on (48 X 3300 MHz CPU s)
2018-04-18 10:49:08
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"ASSIGN VEC float 1D:/4096/1",29207,21361.2,21360.4,ns,,,,,
"ASSIGN VEC float 1D:/4096/2",32937,21143.8,21143,ns,,,,,
"ASSIGN VEC float 1D:/65536/1",28497,24643.2,24641.6,ns,,,,,
"ASSIGN VEC float 1D:/65536/2",28260,24555.1,24552.8,ns,,,,,
"ASSIGN VEC float 1D:/1048576/1",9449,70003.7,69997.3,ns,,,,,
"ASSIGN VEC float 1D:/1048576/2",10387,68405.6,68403.6,ns,,,,,
"ASSIGN VEC float 1D:/16777216/1",196,3.43825e+06,3.43625e+06,ns,,,,,
"ASSIGN VEC float 1D:/16777216/2",195,3.50668e+06,3.4948e+06,ns,,,,,
"ASSIGN VEC float 2D:/64/1",33082,20490.5,20489.4,ns,,,,,
"ASSIGN VEC float 2D:/64/2",33598,20576.8,20576,ns,,,,,
"ASSIGN VEC float 2D:/256/1",28841,23992.1,23991.1,ns,,,,,
"ASSIGN VEC float 2D:/256/2",29852,24496.2,24485.2,ns,,,,,
"ASSIGN VEC float 2D:/1024/1",10015,67909.6,67905.7,ns,,,,,
"ASSIGN VEC float 2D:/1024/2",8822,69540,69536.3,ns,,,,,
"ASSIGN VEC float 2D:/4096/1",202,3.6923e+06,3.69066e+06,ns,,,,,
"ASSIGN VEC float 2D:/4096/2",200,3.47697e+06,3.47409e+06,ns,,,,,
"ASSIGN VEC float 3D:/15/1",35012,19949,19948.3,ns,,,,,
"ASSIGN VEC float 3D:/15/2",34877,20012.6,20011.7,ns,,,,,
"ASSIGN VEC float 3D:/40/1",29709,24011.5,24010.2,ns,,,,,
"ASSIGN VEC float 3D:/40/2",29293,23767.7,23765.4,ns,,,,,
"ASSIGN VEC float 3D:/101/1",9261,66741.9,66738.4,ns,,,,,
"ASSIGN VEC float 3D:/101/2",10591,66300.9,66296.9,ns,,,,,
"ASSIGN VEC float 3D:/255/1",205,2.79901e+06,2.79022e+06,ns,,,,,
"ASSIGN VEC float 3D:/255/2",204,3.15372e+06,3.14169e+06,ns,,,,,
"ASSIGN VEC float 4D:/8/1",33735,20077.7,20077,ns,,,,,
"ASSIGN VEC float 4D:/8/2",34879,20218.4,20217.7,ns,,,,,
"ASSIGN VEC float 4D:/16/1",30153,23200.6,23200,ns,,,,,
"ASSIGN VEC float 4D:/16/2",29427,23627.3,23626.5,ns,,,,,
"ASSIGN VEC float 4D:/32/1",10708,65673.3,65668.3,ns,,,,,
"ASSIGN VEC float 4D:/32/2",10654,66135.2,66131.3,ns,,,,,
"ASSIGN VEC float 4D:/64/1",204,3.46458e+06,3.46354e+06,ns,,,,,
"ASSIGN VEC float 4D:/64/2",194,3.50831e+06,3.50577e+06,ns,,,,,
"ASSIGN VEC double 1D:/4096/1",34340,20538.2,20537.4,ns,,,,,
"ASSIGN VEC double 1D:/4096/2",34454,20366.7,20366,ns,,,,,
"ASSIGN VEC double 1D:/65536/1",26415,26988.3,26987.3,ns,,,,,
"ASSIGN VEC double 1D:/65536/2",26647,26257,26254.9,ns,,,,,
"ASSIGN VEC double 1D:/1048576/1",6189,113869,113861,ns,,,,,
"ASSIGN VEC double 1D:/1048576/2",6278,114601,114588,ns,,,,,
"ASSIGN VEC double 1D:/16777216/1",89,7.25492e+06,7.25016e+06,ns,,,,,
"ASSIGN VEC double 1D:/16777216/2",89,7.71509e+06,7.71092e+06,ns,,,,,
"ASSIGN VEC double 2D:/64/1",32702,21103.9,21102.6,ns,,,,,
"ASSIGN VEC double 2D:/64/2",34305,20375.9,20375.5,ns,,,,,
"ASSIGN VEC double 2D:/256/1",25075,26482.3,26481.7,ns,,,,,
"ASSIGN VEC double 2D:/256/2",26190,26222.3,26220.2,ns,,,,,
"ASSIGN VEC double 2D:/1024/1",6220,114998,114976,ns,,,,,
"ASSIGN VEC double 2D:/1024/2",6221,112352,112340,ns,,,,,
"ASSIGN VEC double 2D:/4096/1",96,7.32162e+06,7.31855e+06,ns,,,,,
"ASSIGN VEC double 2D:/4096/2",96,7.25927e+06,7.25559e+06,ns,,,,,
"ASSIGN VEC double 3D:/15/1",34739,20255.6,20254.8,ns,,,,,
"ASSIGN VEC double 3D:/15/2",34805,20394.7,20393.9,ns,,,,,
"ASSIGN VEC double 3D:/40/1",26239,25954.2,25953,ns,,,,,
"ASSIGN VEC double 3D:/40/2",25992,26742.3,26741.2,ns,,,,,
"ASSIGN VEC double 3D:/101/1",6396,109836,109824,ns,,,,,
"ASSIGN VEC double 3D:/101/2",6269,112039,112032,ns,,,,,
"ASSIGN VEC double 3D:/255/1",97,7.60766e+06,7.60394e+06,ns,,,,,
"ASSIGN VEC double 3D:/255/2",92,7.37683e+06,7.37323e+06,ns,,,,,
"ASSIGN VEC double 4D:/8/1",32659,21234.1,21232.2,ns,,,,,
"ASSIGN VEC double 4D:/8/2",32816,21189.2,21188.5,ns,,,,,
"ASSIGN VEC double 4D:/16/1",26625,26109.9,26108.9,ns,,,,,
"ASSIGN VEC double 4D:/16/2",26730,26244.9,26243.6,ns,,,,,
"ASSIGN VEC double 4D:/32/1",6241,112657,112646,ns,,,,,
"ASSIGN VEC double 4D:/32/2",6202,112493,112484,ns,,,,,
"ASSIGN VEC double 4D:/64/1",93,7.25696e+06,7.25246e+06,ns,,,,,
"ASSIGN VEC double 4D:/64/2",96,7.30293e+06,7.29971e+06,ns,,,,,
