Run on (48 X 3300 MHz CPU s)
2018-04-18 10:50:28
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"AXPY float 1D:/4096/1",29239,23144.1,23142.8,ns,,,,,
"AXPY float 1D:/4096/2",30660,22592.3,22591.6,ns,,,,,
"AXPY float 1D:/65536/1",25698,27197.6,27091.7,ns,,,,,
"AXPY float 1D:/65536/2",26099,26439.1,26426.7,ns,,,,,
"AXPY float 1D:/1048576/1",9141,72856,72856.6,ns,,,,,
"AXPY float 1D:/1048576/2",9043,72485.2,72485.7,ns,,,,,
"AXPY float 1D:/16777216/1",185,3.633e+06,3.63233e+06,ns,,,,,
"AXPY float 1D:/16777216/2",201,3.4781e+06,3.47748e+06,ns,,,,,
"AXPY float 2D:/64/1",30791,22545.7,22538.2,ns,,,,,
"AXPY float 2D:/64/2",31284,22414.2,22414.1,ns,,,,,
"AXPY float 2D:/256/1",26417,27058.3,27047.8,ns,,,,,
"AXPY float 2D:/256/2",25083,27552.4,27549.8,ns,,,,,
"AXPY float 2D:/1024/1",9611,72445.8,72446.4,ns,,,,,
"AXPY float 2D:/1024/2",9674,71984.1,71984.6,ns,,,,,
"AXPY float 2D:/4096/1",202,3.06681e+06,3.06222e+06,ns,,,,,
"AXPY float 2D:/4096/2",193,3.93703e+06,3.57683e+06,ns,,,,,
"AXPY float 3D:/15/1",28950,23202.3,23188.3,ns,,,,,
"AXPY float 3D:/15/2",29402,23467.4,23439.2,ns,,,,,
"AXPY float 3D:/40/1",24646,29082.6,29074.8,ns,,,,,
"AXPY float 3D:/40/2",24785,28186,28172.3,ns,,,,,
"AXPY float 3D:/101/1",9087,77250.4,77084.7,ns,,,,,
"AXPY float 3D:/101/2",8600,78070.9,78053.4,ns,,,,,
"AXPY float 3D:/255/1",193,3.68064e+06,3.64907e+06,ns,,,,,
"AXPY float 3D:/255/2",194,3.69959e+06,3.67771e+06,ns,,,,,
"AXPY float 4D:/8/1",29426,23573.2,23573.4,ns,,,,,
"AXPY float 4D:/8/2",28984,23540.4,23540.2,ns,,,,,
"AXPY float 4D:/16/1",26271,27428.5,27428,ns,,,,,
"AXPY float 4D:/16/2",25827,27684.9,27682.9,ns,,,,,
"AXPY float 4D:/32/1",9339,76242.2,76241.4,ns,,,,,
"AXPY float 4D:/32/2",9766,72126.2,72125.9,ns,,,,,
"AXPY float 4D:/64/1",188,3.62207e+06,3.62165e+06,ns,,,,,
"AXPY float 4D:/64/2",199,3.51831e+06,3.51817e+06,ns,,,,,
"AXPY double 1D:/4096/1",29859,23516.6,23516.1,ns,,,,,
"AXPY double 1D:/4096/2",29526,23916.9,23905.8,ns,,,,,
"AXPY double 1D:/65536/1",22645,30639.5,30637.7,ns,,,,,
"AXPY double 1D:/65536/2",21466,32174.7,32174.3,ns,,,,,
"AXPY double 1D:/1048576/1",5442,123699,123697,ns,,,,,
"AXPY double 1D:/1048576/2",5804,122467,122413,ns,,,,,
"AXPY double 1D:/16777216/1",94,7.74505e+06,7.74267e+06,ns,,,,,
"AXPY double 1D:/16777216/2",92,7.81631e+06,7.81637e+06,ns,,,,,
"AXPY double 2D:/64/1",29317,27385.1,25522.2,ns,,,,,
"AXPY double 2D:/64/2",30369,23183.3,23182.7,ns,,,,,
"AXPY double 2D:/256/1",23153,30662.2,30659.3,ns,,,,,
"AXPY double 2D:/256/2",22785,30868.2,29819.1,ns,,,,,
"AXPY double 2D:/1024/1",5851,126601,121257,ns,,,,,
"AXPY double 2D:/1024/2",5941,118125,116839,ns,,,,,
"AXPY double 2D:/4096/1",96,7.48772e+06,7.28597e+06,ns,,,,,
"AXPY double 2D:/4096/2",90,7.66538e+06,7.47124e+06,ns,,,,,
"AXPY double 3D:/15/1",30162,22764,22763.9,ns,,,,,
"AXPY double 3D:/15/2",30745,22723.8,22687.8,ns,,,,,
"AXPY double 3D:/40/1",23543,30986.4,30331.7,ns,,,,,
"AXPY double 3D:/40/2",22484,30865.5,30783.4,ns,,,,,
"AXPY double 3D:/101/1",5887,120444,120386,ns,,,,,
"AXPY double 3D:/101/2",5905,122013,121690,ns,,,,,
"AXPY double 3D:/255/1",93,7.66499e+06,7.66107e+06,ns,,,,,
"AXPY double 3D:/255/2",93,7.48557e+06,7.4831e+06,ns,,,,,
"AXPY double 4D:/8/1",29686,22948,22947,ns,,,,,
"AXPY double 4D:/8/2",31071,22769.1,22764.7,ns,,,,,
"AXPY double 4D:/16/1",22967,31589.4,31575.2,ns,,,,,
"AXPY double 4D:/16/2",23870,29373.4,29371.5,ns,,,,,
"AXPY double 4D:/32/1",5836,117538,117530,ns,,,,,
"AXPY double 4D:/32/2",5913,121147,121142,ns,,,,,
"AXPY double 4D:/64/1",93,7.61588e+06,7.61079e+06,ns,,,,,
"AXPY double 4D:/64/2",90,7.67858e+06,7.66307e+06,ns,,,,,
