Run on (48 X 3300 MHz CPU s)
2018-04-18 10:57:15
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"DOT float 1D:/4096/1",31745,21787.6,21475.6,ns,,,,,
"DOT float 1D:/4096/2",31196,23077,22931,ns,,,,,
"DOT float 1D:/65536/1",26275,26433.6,26433.6,ns,,,,,
"DOT float 1D:/65536/2",25952,26942.8,26934.4,ns,,,,,
"DOT float 1D:/1048576/1",8625,61879.6,61875.4,ns,,,,,
"DOT float 1D:/1048576/2",11320,63760.8,63761.3,ns,,,,,
"DOT float 1D:/16777216/1",310,2.01922e+06,2.01501e+06,ns,,,,,
"DOT float 1D:/16777216/2",300,2.2473e+06,2.24724e+06,ns,,,,,
"DOT float 2D:/64/1",32134,21803.6,21756.4,ns,,,,,
"DOT float 2D:/64/2",31594,21675.1,21669.3,ns,,,,,
"DOT float 2D:/256/1",27513,25198.1,25197.7,ns,,,,,
"DOT float 2D:/256/2",28437,24657.8,24656.5,ns,,,,,
"DOT float 2D:/1024/1",11494,61122.7,61119.5,ns,,,,,
"DOT float 2D:/1024/2",11438,61300.9,61297.1,ns,,,,,
"DOT float 2D:/4096/1",318,2.24065e+06,2.24059e+06,ns,,,,,
"DOT float 2D:/4096/2",304,2.35834e+06,2.35742e+06,ns,,,,,
"DOT float 3D:/15/1",30449,21921.2,21921.3,ns,,,,,
"DOT float 3D:/15/2",31837,23065,23049.8,ns,,,,,
"DOT float 3D:/40/1",27714,25204.6,25203.9,ns,,,,,
"DOT float 3D:/40/2",27610,25412.9,25402.9,ns,,,,,
"DOT float 3D:/101/1",11149,63179.2,63153.9,ns,,,,,
"DOT float 3D:/101/2",10703,62715.7,62712.5,ns,,,,,
"DOT float 3D:/255/1",304,2.37433e+06,2.37285e+06,ns,,,,,
"DOT float 3D:/255/2",314,2.30211e+06,2.30213e+06,ns,,,,,
"DOT float 4D:/8/1",30875,22150.1,22147.5,ns,,,,,
"DOT float 4D:/8/2",31889,20959.8,20956.9,ns,,,,,
"DOT float 4D:/16/1",28089,24500.7,24500.5,ns,,,,,
"DOT float 4D:/16/2",28324,24660.9,24661.1,ns,,,,,
"DOT float 4D:/32/1",11551,60705.6,60706.1,ns,,,,,
"DOT float 4D:/32/2",11567,61994.2,61991.6,ns,,,,,
"DOT float 4D:/64/1",309,2.32275e+06,2.32252e+06,ns,,,,,
"DOT float 4D:/64/2",313,2.28195e+06,2.28196e+06,ns,,,,,
"DOT double 1D:/4096/1",30796,22490.4,22490.4,ns,,,,,
"DOT double 1D:/4096/2",31724,22017.7,21974,ns,,,,,
"DOT double 1D:/65536/1",26585,26110.7,26110.9,ns,,,,,
"DOT double 1D:/65536/2",27659,25423.6,25423.2,ns,,,,,
"DOT double 1D:/1048576/1",10452,65269.2,65269.7,ns,,,,,
"DOT double 1D:/1048576/2",10734,67150.2,67146.7,ns,,,,,
"DOT double 1D:/16777216/1",152,4.75315e+06,4.75239e+06,ns,,,,,
"DOT double 1D:/16777216/2",138,4.88046e+06,4.86862e+06,ns,,,,,
"DOT double 2D:/64/1",33451,20788,20785.9,ns,,,,,
"DOT double 2D:/64/2",33736,21031.6,21031,ns,,,,,
"DOT double 2D:/256/1",28339,25248.9,25248.6,ns,,,,,
"DOT double 2D:/256/2",28186,24801.4,24801.3,ns,,,,,
"DOT double 2D:/1024/1",9479,64387.2,64138,ns,,,,,
"DOT double 2D:/1024/2",10636,62059.9,62055.9,ns,,,,,
"DOT double 2D:/4096/1",152,4.62012e+06,4.61928e+06,ns,,,,,
"DOT double 2D:/4096/2",154,4.53827e+06,4.53813e+06,ns,,,,,
"DOT double 3D:/15/1",34146,20618.9,20616.9,ns,,,,,
"DOT double 3D:/15/2",34004,20529.7,20529.6,ns,,,,,
"DOT double 3D:/40/1",28450,24577.9,24577.7,ns,,,,,
"DOT double 3D:/40/2",28512,24583.5,24583.1,ns,,,,,
"DOT double 3D:/101/1",9802,62903.2,62903.7,ns,,,,,
"DOT double 3D:/101/2",11281,63271,63162.9,ns,,,,,
"DOT double 3D:/255/1",135,4.58279e+06,4.55798e+06,ns,,,,,
"DOT double 3D:/255/2",151,4.69531e+06,4.69519e+06,ns,,,,,
"DOT double 4D:/8/1",33994,21401.3,21379.3,ns,,,,,
"DOT double 4D:/8/2",32995,22704.2,22614.9,ns,,,,,
"DOT double 4D:/16/1",24461,27765.5,27673.2,ns,,,,,
"DOT double 4D:/16/2",25340,27296.9,27208.3,ns,,,,,
"DOT double 4D:/32/1",11095,75311.4,74234.3,ns,,,,,
"DOT double 4D:/32/2",9496,75180.5,72988,ns,,,,,
"DOT double 4D:/64/1",130,5.12654e+06,5.07544e+06,ns,,,,,
"DOT double 4D:/64/2",134,4.53899e+06,4.53804e+06,ns,,,,,
