Run on (48 X 3300 MHz CPU s)
2018-04-18 10:58:39
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"SQ float 1D:/4096/1",29610,22329.4,22329.5,ns,,,,,
"SQ float 1D:/4096/2",32220,21019.3,21018.7,ns,,,,,
"SQ float 1D:/65536/1",26459,26263.8,26208.9,ns,,,,,
"SQ float 1D:/65536/2",27134,25828.7,25776.8,ns,,,,,
"SQ float 1D:/1048576/1",11661,60239.7,60239.6,ns,,,,,
"SQ float 1D:/1048576/2",11656,59780.7,59780.6,ns,,,,,
"SQ float 1D:/16777216/1",844,821813,821794,ns,,,,,
"SQ float 1D:/16777216/2",845,818176,818160,ns,,,,,
"SQ float 2D:/64/1",33281,20895.2,20893.8,ns,,,,,
"SQ float 2D:/64/2",32057,20973.6,20972.9,ns,,,,,
"SQ float 2D:/256/1",28123,25550.8,25550.4,ns,,,,,
"SQ float 2D:/256/2",27688,24941.3,24909.3,ns,,,,,
"SQ float 2D:/1024/1",11655,59961.9,59961.8,ns,,,,,
"SQ float 2D:/1024/2",11699,61029.7,61023.7,ns,,,,,
"SQ float 2D:/4096/1",826,843661,837339,ns,,,,,
"SQ float 2D:/4096/2",831,821850,821841,ns,,,,,
"SQ float 3D:/15/1",33565,21547.7,21513.5,ns,,,,,
"SQ float 3D:/15/2",32256,21481.8,21480.4,ns,,,,,
"SQ float 3D:/40/1",28165,25108.4,25108.3,ns,,,,,
"SQ float 3D:/40/2",26198,25748.8,25748.8,ns,,,,,
"SQ float 3D:/101/1",9283,60215,60215.4,ns,,,,,
"SQ float 3D:/101/2",11721,61161.4,61161.3,ns,,,,,
"SQ float 3D:/255/1",825,838762,832463,ns,,,,,
"SQ float 3D:/255/2",842,736674,735028,ns,,,,,
"SQ float 4D:/8/1",33505,20963.2,20962.9,ns,,,,,
"SQ float 4D:/8/2",33442,20804.2,20804.2,ns,,,,,
"SQ float 4D:/16/1",27214,25766.8,25765.1,ns,,,,,
"SQ float 4D:/16/2",28145,24850.2,24849.9,ns,,,,,
"SQ float 4D:/32/1",11674,59946.2,59946.7,ns,,,,,
"SQ float 4D:/32/2",11637,59901.2,59901.7,ns,,,,,
"SQ float 4D:/64/1",763,805923,805494,ns,,,,,
"SQ float 4D:/64/2",760,839348,839270,ns,,,,,
"SQ double 1D:/4096/1",32558,21721.8,21721.7,ns,,,,,
"SQ double 1D:/4096/2",32058,21857.8,21857.3,ns,,,,,
"SQ double 1D:/65536/1",26649,25984.5,25984.3,ns,,,,,
"SQ double 1D:/65536/2",27875,25097.2,25095.8,ns,,,,,
"SQ double 1D:/1048576/1",11544,63412.1,63412,ns,,,,,
"SQ double 1D:/1048576/2",11210,63279.8,63279.7,ns,,,,,
"SQ double 1D:/16777216/1",315,2.29675e+06,2.29657e+06,ns,,,,,
"SQ double 1D:/16777216/2",315,2.25252e+06,2.25232e+06,ns,,,,,
"SQ double 2D:/64/1",33637,20832.1,20831.7,ns,,,,,
"SQ double 2D:/64/2",33504,20840.5,20840.5,ns,,,,,
"SQ double 2D:/256/1",27909,25167.6,25167.6,ns,,,,,
"SQ double 2D:/256/2",26046,25469.5,25468,ns,,,,,
"SQ double 2D:/1024/1",11521,60608.6,60538.8,ns,,,,,
"SQ double 2D:/1024/2",11498,60369.1,60368.3,ns,,,,,
"SQ double 2D:/4096/1",313,2.1817e+06,2.18172e+06,ns,,,,,
"SQ double 2D:/4096/2",314,2.18218e+06,2.1822e+06,ns,,,,,
"SQ double 3D:/15/1",33475,20781.2,20781.3,ns,,,,,
"SQ double 3D:/15/2",33924,21057,21057.2,ns,,,,,
"SQ double 3D:/40/1",27870,25218.2,25218.4,ns,,,,,
"SQ double 3D:/40/2",27845,24806.2,24806.4,ns,,,,,
"SQ double 3D:/101/1",11636,61685.8,61682.2,ns,,,,,
"SQ double 3D:/101/2",11565,60979.3,60979.1,ns,,,,,
"SQ double 3D:/255/1",323,2.17568e+06,2.1756e+06,ns,,,,,
"SQ double 3D:/255/2",320,2.24193e+06,2.24173e+06,ns,,,,,
"SQ double 4D:/8/1",32951,21006.4,21005.2,ns,,,,,
"SQ double 4D:/8/2",33480,21427.1,21427.2,ns,,,,,
"SQ double 4D:/16/1",26984,26498.4,26498.6,ns,,,,,
"SQ double 4D:/16/2",26293,25158.3,25158.5,ns,,,,,
"SQ double 4D:/32/1",11471,60536.5,60533.8,ns,,,,,
"SQ double 4D:/32/2",11504,60682.2,60682.6,ns,,,,,
"SQ double 4D:/64/1",315,2.17878e+06,2.17879e+06,ns,,,,,
"SQ double 4D:/64/2",315,2.18208e+06,2.18209e+06,ns,,,,,
