Run on (48 X 3300 MHz CPU s)
2018-04-18 11:01:40
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"STENCIL CORE APPLY float 1D:/4096/1",43813,13193.2,13193.3,ns,,,,,
"STENCIL CORE APPLY float 1D:/4096/2",34118,20347,20346.9,ns,,,,,
"STENCIL CORE APPLY float 1D:/65536/1",13067,53684.9,53361.5,ns,,,,,
"STENCIL CORE APPLY float 1D:/65536/2",9879,70629.2,70201,ns,,,,,
"STENCIL CORE APPLY float 1D:/1048576/1",3052,229074,229073,ns,,,,,
"STENCIL CORE APPLY float 1D:/1048576/2",2024,344632,344618,ns,,,,,
"STENCIL CORE APPLY float 1D:/16777216/1",172,3.7784e+06,3.77772e+06,ns,,,,,
"STENCIL CORE APPLY float 1D:/16777216/2",124,5.45712e+06,5.4068e+06,ns,,,,,
"STENCIL CORE APPLY float 2D:/64/1",18091,37083.7,37082.9,ns,,,,,
"STENCIL CORE APPLY float 2D:/64/2",7994,87693.6,87692,ns,,,,,
"STENCIL CORE APPLY float 2D:/256/1",4493,119644,119316,ns,,,,,
"STENCIL CORE APPLY float 2D:/256/2",2616,264787,264639,ns,,,,,
"STENCIL CORE APPLY float 2D:/1024/1",1161,589150,589154,ns,,,,,
"STENCIL CORE APPLY float 2D:/1024/2",482,1.45975e+06,1.45972e+06,ns,,,,,
"STENCIL CORE APPLY float 2D:/4096/1",81,8.62191e+06,8.60317e+06,ns,,,,,
"STENCIL CORE APPLY float 2D:/4096/2",28,2.13682e+07,2.13365e+07,ns,,,,,
"STENCIL CORE APPLY float 3D:/15/1",11882,58857.7,58858.1,ns,,,,,
"STENCIL CORE APPLY float 3D:/15/2",4572,153624,153625,ns,,,,,
"STENCIL CORE APPLY float 3D:/40/1",2368,281046,280791,ns,,,,,
"STENCIL CORE APPLY float 3D:/40/2",765,910873,910794,ns,,,,,
"STENCIL CORE APPLY float 3D:/101/1",464,1.50645e+06,1.50639e+06,ns,,,,,
"STENCIL CORE APPLY float 3D:/101/2",129,5.57861e+06,5.57801e+06,ns,,,,,
"STENCIL CORE APPLY float 3D:/255/1",27,2.21695e+07,2.21692e+07,ns,,,,,
"STENCIL CORE APPLY float 3D:/255/2",6,9.27837e+07,9.19399e+07,ns,,,,,
"STENCIL CORE APPLY float 4D:/8/1",7073,98810.7,98810.6,ns,,,,,
"STENCIL CORE APPLY float 4D:/8/2",4760,147702,147703,ns,,,,,
"STENCIL CORE APPLY float 4D:/16/1",1445,470632,470398,ns,,,,,
"STENCIL CORE APPLY float 4D:/16/2",206,3.96883e+06,3.96861e+06,ns,,,,,
"STENCIL CORE APPLY float 4D:/32/1",198,3.45113e+06,3.45111e+06,ns,,,,,
"STENCIL CORE APPLY float 4D:/32/2",35,2.02314e+07,2.02043e+07,ns,,,,,
"STENCIL CORE APPLY float 4D:/64/1",7,7.19494e+07,7.19465e+07,ns,,,,,
"STENCIL CORE APPLY float 4D:/64/2",1,6.23462e+08,6.23424e+08,ns,,,,,
"STENCIL CORE APPLY double 1D:/4096/1",47273,14876.8,14876.8,ns,,,,,
"STENCIL CORE APPLY double 1D:/4096/2",31433,22500.3,22500.3,ns,,,,,
"STENCIL CORE APPLY double 1D:/65536/1",11455,60664.7,60255.4,ns,,,,,
"STENCIL CORE APPLY double 1D:/65536/2",8974,76935.3,76607.1,ns,,,,,
"STENCIL CORE APPLY double 1D:/1048576/1",2360,296114,296103,ns,,,,,
"STENCIL CORE APPLY double 1D:/1048576/2",2065,338119,338108,ns,,,,,
"STENCIL CORE APPLY double 1D:/16777216/1",90,7.08631e+06,7.08319e+06,ns,,,,,
"STENCIL CORE APPLY double 1D:/16777216/2",77,7.60907e+06,7.60709e+06,ns,,,,,
"STENCIL CORE APPLY double 2D:/64/1",18493,38210.7,38207.7,ns,,,,,
"STENCIL CORE APPLY double 2D:/64/2",7448,94472.3,94467.9,ns,,,,,
"STENCIL CORE APPLY double 2D:/256/1",4344,127663,127420,ns,,,,,
"STENCIL CORE APPLY double 2D:/256/2",2471,282711,282604,ns,,,,,
"STENCIL CORE APPLY double 2D:/1024/1",1171,592553,592459,ns,,,,,
"STENCIL CORE APPLY double 2D:/1024/2",488,1.40636e+06,1.40595e+06,ns,,,,,
"STENCIL CORE APPLY double 2D:/4096/1",57,9.08002e+06,9.07798e+06,ns,,,,,
"STENCIL CORE APPLY double 2D:/4096/2",30,1.9605e+07,1.9603e+07,ns,,,,,
"STENCIL CORE APPLY double 3D:/15/1",13042,53631.9,53627.9,ns,,,,,
"STENCIL CORE APPLY double 3D:/15/2",4591,152558,152556,ns,,,,,
"STENCIL CORE APPLY double 3D:/40/1",2501,248371,248014,ns,,,,,
"STENCIL CORE APPLY double 3D:/40/2",799,870807,870813,ns,,,,,
"STENCIL CORE APPLY double 3D:/101/1",488,1.46651e+06,1.46092e+06,ns,,,,,
"STENCIL CORE APPLY double 3D:/101/2",123,5.37291e+06,5.37234e+06,ns,,,,,
"STENCIL CORE APPLY double 3D:/255/1",27,2.24923e+07,2.2492e+07,ns,,,,,
"STENCIL CORE APPLY double 3D:/255/2",6,9.12683e+07,9.12666e+07,ns,,,,,
"STENCIL CORE APPLY double 4D:/8/1",7072,98818.9,98818.7,ns,,,,,
"STENCIL CORE APPLY double 4D:/8/2",4754,147313,147310,ns,,,,,
"STENCIL CORE APPLY double 4D:/16/1",1388,481747,480907,ns,,,,,
"STENCIL CORE APPLY double 4D:/16/2",177,3.71591e+06,3.71591e+06,ns,,,,,
"STENCIL CORE APPLY double 4D:/32/1",205,3.42817e+06,3.42568e+06,ns,,,,,
"STENCIL CORE APPLY double 4D:/32/2",27,2.50856e+07,2.43688e+07,ns,,,,,
"STENCIL CORE APPLY double 4D:/64/1",7,9.47407e+07,9.47379e+07,ns,,,,,
"STENCIL CORE APPLY double 4D:/64/2",1,6.17317e+08,6.17008e+08,ns,,,,,
