Run on (48 X 3300 MHz CPU s)
2018-04-18 11:03:19
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"STENCIL SHELL APPLY float 1D:/4096/1",1095116,577.878,576.652,ns,,,,,
"STENCIL SHELL APPLY float 1D:/4096/2",991205,706.067,705.768,ns,,,,,
"STENCIL SHELL APPLY float 1D:/65536/1",1105351,628.084,627.417,ns,,,,,
"STENCIL SHELL APPLY float 1D:/65536/2",987502,705.739,705.541,ns,,,,,
"STENCIL SHELL APPLY float 1D:/1048576/1",1112434,624.886,624.581,ns,,,,,
"STENCIL SHELL APPLY float 1D:/1048576/2",989022,706.29,705.984,ns,,,,,
"STENCIL SHELL APPLY float 1D:/16777216/1",1075526,630.952,630.709,ns,,,,,
"STENCIL SHELL APPLY float 1D:/16777216/2",964733,705.934,705.706,ns,,,,,
"STENCIL SHELL APPLY float 2D:/64/1",49481,13995.7,13987.9,ns,,,,,
"STENCIL SHELL APPLY float 2D:/64/2",19210,36348.6,36253,ns,,,,,
"STENCIL SHELL APPLY float 2D:/256/1",18997,37860.6,37776.6,ns,,,,,
"STENCIL SHELL APPLY float 2D:/256/2",6271,111185,111069,ns,,,,,
"STENCIL SHELL APPLY float 2D:/1024/1",5826,120455,120334,ns,,,,,
"STENCIL SHELL APPLY float 2D:/1024/2",1737,397861,397822,ns,,,,,
"STENCIL SHELL APPLY float 2D:/4096/1",715,818616,818349,ns,,,,,
"STENCIL SHELL APPLY float 2D:/4096/2",301,1.97117e+06,1.96775e+06,ns,,,,,
"STENCIL SHELL APPLY float 3D:/15/1",9365,75396.9,74979,ns,,,,,
"STENCIL SHELL APPLY float 3D:/15/2",1839,380538,380463,ns,,,,,
"STENCIL SHELL APPLY float 3D:/40/1",1473,470119,469969,ns,,,,,
"STENCIL SHELL APPLY float 3D:/40/2",211,3.2113e+06,3.21125e+06,ns,,,,,
"STENCIL SHELL APPLY float 3D:/101/1",234,2.93339e+06,2.93326e+06,ns,,,,,
"STENCIL SHELL APPLY float 3D:/101/2",33,2.27805e+07,2.27802e+07,ns,,,,,
"STENCIL SHELL APPLY float 3D:/255/1",28,2.02841e+07,2.02842e+07,ns,,,,,
"STENCIL SHELL APPLY float 3D:/255/2",4,1.66254e+08,1.66256e+08,ns,,,,,
"STENCIL SHELL APPLY float 4D:/8/1",2188,305663,304850,ns,,,,,
"STENCIL SHELL APPLY float 4D:/8/2",532,1.33382e+06,1.32966e+06,ns,,,,,
"STENCIL SHELL APPLY float 4D:/16/1",242,2.85966e+06,2.85893e+06,ns,,,,,
"STENCIL SHELL APPLY float 4D:/16/2",27,3.7155e+07,3.71551e+07,ns,,,,,
"STENCIL SHELL APPLY float 4D:/32/1",16,4.46875e+07,4.46879e+07,ns,,,,,
"STENCIL SHELL APPLY float 4D:/32/2",2,2.84716e+08,2.84718e+08,ns,,,,,
"STENCIL SHELL APPLY float 4D:/64/1",3,2.31307e+08,2.31306e+08,ns,,,,,
"STENCIL SHELL APPLY float 4D:/64/2",1,2.6463e+09,2.6463e+09,ns,,,,,
"STENCIL SHELL APPLY double 1D:/4096/1",1000000,612.063,611.773,ns,,,,,
"STENCIL SHELL APPLY double 1D:/4096/2",1019004,688.073,687.958,ns,,,,,
"STENCIL SHELL APPLY double 1D:/65536/1",1124525,623.278,623.096,ns,,,,,
"STENCIL SHELL APPLY double 1D:/65536/2",1035661,684.849,684.693,ns,,,,,
"STENCIL SHELL APPLY double 1D:/1048576/1",1111925,617.293,617.231,ns,,,,,
"STENCIL SHELL APPLY double 1D:/1048576/2",1023468,658.069,657.89,ns,,,,,
"STENCIL SHELL APPLY double 1D:/16777216/1",1089281,621.859,621.709,ns,,,,,
"STENCIL SHELL APPLY double 1D:/16777216/2",1000886,658.246,658.014,ns,,,,,
