Run on (4 X 3200 MHz CPU s)
2018-04-18 10:07:30
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"ASSIGN SCALAR float 1D:/4096/1",104660,6135.7,6091.8,ns,,,,,
"ASSIGN SCALAR float 1D:/4096/2",117646,5959.24,5944.96,ns,,,,,
"ASSIGN SCALAR float 1D:/65536/1",62051,11285.5,11254.6,ns,,,,,
"ASSIGN SCALAR float 1D:/65536/2",59779,11294.6,11248.2,ns,,,,,
"ASSIGN SCALAR float 1D:/1048576/1",3973,179852,177549,ns,,,,,
"ASSIGN SCALAR float 1D:/1048576/2",3899,177948,175892,ns,,,,,
"ASSIGN SCALAR float 1D:/16777216/1",86,8.22886e+06,8.09474e+06,ns,,,,,
"ASSIGN SCALAR float 1D:/16777216/2",86,8.25785e+06,7.93242e+06,ns,,,,,
"ASSIGN SCALAR float 2D:/64/1",116753,5959.83,5938.63,ns,,,,,
"ASSIGN SCALAR float 2D:/64/2",118162,6102.47,6044.65,ns,,,,,
"ASSIGN SCALAR float 2D:/256/1",54687,12857.4,12462.9,ns,,,,,
"ASSIGN SCALAR float 2D:/256/2",62533,11202.3,11171.8,ns,,,,,
"ASSIGN SCALAR float 2D:/1024/1",3741,196127,194017,ns,,,,,
"ASSIGN SCALAR float 2D:/1024/2",3745,201182,198779,ns,,,,,
"ASSIGN SCALAR float 2D:/4096/1",86,8.21146e+06,8.10679e+06,ns,,,,,
"ASSIGN SCALAR float 2D:/4096/2",86,8.19716e+06,8.04958e+06,ns,,,,,
"ASSIGN SCALAR float 3D:/15/1",111135,6367.88,6349.76,ns,,,,,
"ASSIGN SCALAR float 3D:/15/2",110446,6294.68,6280.18,ns,,,,,
"ASSIGN SCALAR float 3D:/40/1",61327,11446.6,11407.7,ns,,,,,
"ASSIGN SCALAR float 3D:/40/2",61863,11443.2,11403.3,ns,,,,,
"ASSIGN SCALAR float 3D:/101/1",3925,183309,181550,ns,,,,,
"ASSIGN SCALAR float 3D:/101/2",4302,165624,163902,ns,,,,,
"ASSIGN SCALAR float 3D:/255/1",87,8.16664e+06,7.9398e+06,ns,,,,,
"ASSIGN SCALAR float 3D:/255/2",87,8.1494e+06,7.79926e+06,ns,,,,,
"ASSIGN SCALAR float 4D:/8/1",117879,5940.2,5909.89,ns,,,,,
"ASSIGN SCALAR float 4D:/8/2",115182,5984.44,5929.49,ns,,,,,
"ASSIGN SCALAR float 4D:/16/1",61759,11447.8,11355.2,ns,,,,,
"ASSIGN SCALAR float 4D:/16/2",62318,11387.7,11323,ns,,,,,
"ASSIGN SCALAR float 4D:/32/1",4327,164652,163014,ns,,,,,
"ASSIGN SCALAR float 4D:/32/2",4475,145541,143846,ns,,,,,
"ASSIGN SCALAR float 4D:/64/1",87,8.24664e+06,8.13971e+06,ns,,,,,
"ASSIGN SCALAR float 4D:/64/2",87,8.75341e+06,7.35053e+06,ns,,,,,
"ASSIGN SCALAR double 1D:/4096/1",89973,6692.28,6528.58,ns,,,,,
"ASSIGN SCALAR double 1D:/4096/2",104168,6396.06,6377.64,ns,,,,,
"ASSIGN SCALAR double 1D:/65536/1",42157,16893.8,16839.6,ns,,,,,
"ASSIGN SCALAR double 1D:/65536/2",41779,17052.3,16889.7,ns,,,,,
"ASSIGN SCALAR double 1D:/1048576/1",653,1.11976e+06,1.07821e+06,ns,,,,,
"ASSIGN SCALAR double 1D:/1048576/2",723,999324,968173,ns,,,,,
"ASSIGN SCALAR double 1D:/16777216/1",38,2.035e+07,1.34729e+07,ns,,,,,
"ASSIGN SCALAR double 1D:/16777216/2",41,1.85837e+07,1.43765e+07,ns,,,,,
"ASSIGN SCALAR double 2D:/64/1",82106,7712.23,7311.23,ns,,,,,
"ASSIGN SCALAR double 2D:/64/2",106243,7968.23,7627.53,ns,,,,,
"ASSIGN SCALAR double 2D:/256/1",31892,28106.8,23248,ns,,,,,
"ASSIGN SCALAR double 2D:/256/2",34854,24029.9,22130.1,ns,,,,,
"ASSIGN SCALAR double 2D:/1024/1",573,1.27164e+06,1.24916e+06,ns,,,,,
"ASSIGN SCALAR double 2D:/1024/2",526,1.60891e+06,1.24023e+06,ns,,,,,
"ASSIGN SCALAR double 2D:/4096/1",43,1.76034e+07,1.69743e+07,ns,,,,,
"ASSIGN SCALAR double 2D:/4096/2",42,1.73391e+07,1.68989e+07,ns,,,,,
"ASSIGN SCALAR double 3D:/15/1",100151,6727.25,6708.23,ns,,,,,
"ASSIGN SCALAR double 3D:/15/2",93235,7072.23,7017.72,ns,,,,,
"ASSIGN SCALAR double 3D:/40/1",42478,18902.8,18166.8,ns,,,,,
"ASSIGN SCALAR double 3D:/40/2",41176,18248.1,18149.6,ns,,,,,
"ASSIGN SCALAR double 3D:/101/1",719,993192,980322,ns,,,,,
"ASSIGN SCALAR double 3D:/101/2",714,1.0791e+06,1.03151e+06,ns,,,,,
"ASSIGN SCALAR double 3D:/255/1",44,1.68359e+07,1.63833e+07,ns,,,,,
"ASSIGN SCALAR double 3D:/255/2",43,1.64367e+07,1.58878e+07,ns,,,,,
"ASSIGN SCALAR double 4D:/8/1",109467,6369.19,6325.99,ns,,,,,
"ASSIGN SCALAR double 4D:/8/2",109386,6539.08,6503.44,ns,,,,,
"ASSIGN SCALAR double 4D:/16/1",42396,18526.6,18201.9,ns,,,,,
"ASSIGN SCALAR double 4D:/16/2",40213,18144.3,17957.7,ns,,,,,
"ASSIGN SCALAR double 4D:/32/1",780,1.00215e+06,980132,ns,,,,,
"ASSIGN SCALAR double 4D:/32/2",750,966633,937135,ns,,,,,
"ASSIGN SCALAR double 4D:/64/1",42,1.65472e+07,1.63274e+07,ns,,,,,
"ASSIGN SCALAR double 4D:/64/2",43,1.64413e+07,1.62444e+07,ns,,,,,
