Run on (4 X 3200 MHz CPU s)
2018-04-18 10:04:23
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"ASSIGN VEC float 1D:/4096/1",111514,5973.67,5959.86,ns,,,,,
"ASSIGN VEC float 1D:/4096/2",116146,5992.3,5979.99,ns,,,,,
"ASSIGN VEC float 1D:/65536/1",54207,12957.6,12925.4,ns,,,,,
"ASSIGN VEC float 1D:/65536/2",54982,12791.3,12759,ns,,,,,
"ASSIGN VEC float 1D:/1048576/1",1009,713145,704292,ns,,,,,
"ASSIGN VEC float 1D:/1048576/2",1011,708660,699770,ns,,,,,
"ASSIGN VEC float 1D:/16777216/1",55,1.29083e+07,1.27026e+07,ns,,,,,
"ASSIGN VEC float 1D:/16777216/2",54,1.29441e+07,1.26968e+07,ns,,,,,
"ASSIGN VEC float 2D:/64/1",117056,5983.85,5935.23,ns,,,,,
"ASSIGN VEC float 2D:/64/2",116601,5910.57,5897.74,ns,,,,,
"ASSIGN VEC float 2D:/256/1",53999,13205.3,13141.2,ns,,,,,
"ASSIGN VEC float 2D:/256/2",54322,16294.6,15183,ns,,,,,
"ASSIGN VEC float 2D:/1024/1",919,739825,731456,ns,,,,,
"ASSIGN VEC float 2D:/1024/2",979,728931,719275,ns,,,,,
"ASSIGN VEC float 2D:/4096/1",55,1.29689e+07,1.26435e+07,ns,,,,,
"ASSIGN VEC float 2D:/4096/2",58,1.35144e+07,1.20931e+07,ns,,,,,
"ASSIGN VEC float 3D:/15/1",108372,6456.43,6426.49,ns,,,,,
"ASSIGN VEC float 3D:/15/2",108341,6579.8,6551.4,ns,,,,,
"ASSIGN VEC float 3D:/40/1",43922,14689.8,14154.3,ns,,,,,
"ASSIGN VEC float 3D:/40/2",54117,13190.5,13147.7,ns,,,,,
"ASSIGN VEC float 3D:/101/1",1111,694894,687201,ns,,,,,
"ASSIGN VEC float 3D:/101/2",1005,701344,693574,ns,,,,,
"ASSIGN VEC float 3D:/255/1",56,1.27153e+07,1.25782e+07,ns,,,,,
"ASSIGN VEC float 3D:/255/2",56,1.27213e+07,1.25855e+07,ns,,,,,
"ASSIGN VEC float 4D:/8/1",115098,6068.47,6055.21,ns,,,,,
"ASSIGN VEC float 4D:/8/2",114453,6096.18,6083.29,ns,,,,,
