Run on (4 X 3200 MHz CPU s)
2018-04-18 10:01:50
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"AXPY float 1D:/4096/1",101175,6928.86,6907.14,ns,,,,,
"AXPY float 1D:/4096/2",100231,6970.28,6938.44,ns,,,,,
"AXPY float 1D:/65536/1",42509,16667.1,16573.1,ns,,,,,
"AXPY float 1D:/65536/2",42805,16450.6,16404.8,ns,,,,,
"AXPY float 1D:/1048576/1",1010,716262,707875,ns,,,,,
"AXPY float 1D:/1048576/2",976,725881,717517,ns,,,,,
"AXPY float 1D:/16777216/1",55,1.29114e+07,1.27697e+07,ns,,,,,
"AXPY float 1D:/16777216/2",55,1.2926e+07,1.27796e+07,ns,,,,,
"AXPY float 2D:/64/1",101550,6904.39,6887.24,ns,,,,,
"AXPY float 2D:/64/2",99893,6952.45,6937.12,ns,,,,,
"AXPY float 2D:/256/1",41448,16787,16732.1,ns,,,,,
"AXPY float 2D:/256/2",42813,16373,16332.2,ns,,,,,
"AXPY float 2D:/1024/1",942,730395,722215,ns,,,,,
"AXPY float 2D:/1024/2",981,728216,720347,ns,,,,,
"AXPY float 2D:/4096/1",55,1.29461e+07,1.25559e+07,ns,,,,,
"AXPY float 2D:/4096/2",55,1.29082e+07,1.2759e+07,ns,,,,,
"AXPY float 3D:/15/1",99374,7029.94,7013.26,ns,,,,,
"AXPY float 3D:/15/2",99037,7060.86,7045.12,ns,,,,,
"AXPY float 3D:/40/1",41850,16770.4,16723.7,ns,,,,,
"AXPY float 3D:/40/2",42102,16867.6,16817.4,ns,,,,,
"AXPY float 3D:/101/1",973,710216,701715,ns,,,,,
"AXPY float 3D:/101/2",1014,735594,726089,ns,,,,,
"AXPY float 3D:/255/1",56,1.2756e+07,1.26147e+07,ns,,,,,
"AXPY float 3D:/255/2",56,1.27664e+07,1.2579e+07,ns,,,,,
"AXPY float 4D:/8/1",102009,6911.41,6896.39,ns,,,,,
"AXPY float 4D:/8/2",101134,6942.78,6917.8,ns,,,,,
"AXPY float 4D:/16/1",43651,15991,15951.7,ns,,,,,
"AXPY float 4D:/16/2",43368,16160.3,16120.5,ns,,,,,
"AXPY float 4D:/32/1",981,727133,718788,ns,,,,,
"AXPY float 4D:/32/2",948,752962,744908,ns,,,,,
"AXPY float 4D:/64/1",55,1.2915e+07,1.27733e+07,ns,,,,,
"AXPY float 4D:/64/2",55,1.29384e+07,1.27809e+07,ns,,,,,
"AXPY double 1D:/4096/1",93787,7465.13,7435.64,ns,,,,,
"AXPY double 1D:/4096/2",88971,7711.24,7670.36,ns,,,,,
"AXPY double 1D:/65536/1",27939,25358.9,25292.3,ns,,,,,
"AXPY double 1D:/65536/2",27741,26607.2,26405.8,ns,,,,,
"AXPY double 1D:/1048576/1",434,1.62973e+06,1.61168e+06,ns,,,,,
"AXPY double 1D:/1048576/2",435,1.62812e+06,1.61048e+06,ns,,,,,
"AXPY double 1D:/16777216/1",27,2.59101e+07,2.55892e+07,ns,,,,,
"AXPY double 1D:/16777216/2",27,2.5894e+07,2.56114e+07,ns,,,,,
"AXPY double 2D:/64/1",93312,7396.34,7379.83,ns,,,,,
"AXPY double 2D:/64/2",95018,7388.17,7371.77,ns,,,,,
"AXPY double 2D:/256/1",27871,25354,25290.5,ns,,,,,
"AXPY double 2D:/256/2",27900,25237.5,25175.5,ns,,,,,
"AXPY double 2D:/1024/1",434,1.63047e+06,1.61255e+06,ns,,,,,
"AXPY double 2D:/1024/2",435,1.63842e+06,1.61963e+06,ns,,,,,
"AXPY double 2D:/4096/1",27,2.59217e+07,2.56382e+07,ns,,,,,
"AXPY double 2D:/4096/2",27,2.59744e+07,2.56889e+07,ns,,,,,
"AXPY double 3D:/15/1",94053,7455.53,7439.42,ns,,,,,
"AXPY double 3D:/15/2",92624,7488.76,7472.25,ns,,,,,
"AXPY double 3D:/40/1",28024,25134.7,25073,ns,,,,,
"AXPY double 3D:/40/2",27967,25124.1,25062.2,ns,,,,,
"AXPY double 3D:/101/1",450,1.57797e+06,1.56136e+06,ns,,,,,
"AXPY double 3D:/101/2",447,1.56254e+06,1.54725e+06,ns,,,,,
"AXPY double 3D:/255/1",27,2.56514e+07,2.53775e+07,ns,,,,,
"AXPY double 3D:/255/2",28,2.57959e+07,2.55191e+07,ns,,,,,
"AXPY double 4D:/8/1",95180,7380.28,7364.14,ns,,,,,
"AXPY double 4D:/8/2",94613,7345.72,7329.98,ns,,,,,
"AXPY double 4D:/16/1",27581,25138.4,25076,ns,,,,,
"AXPY double 4D:/16/2",27626,25174.5,25112.1,ns,,,,,
"AXPY double 4D:/32/1",434,1.6061e+06,1.58907e+06,ns,,,,,
"AXPY double 4D:/32/2",439,1.60322e+06,1.5871e+06,ns,,,,,
"AXPY double 4D:/64/1",27,2.58854e+07,2.56103e+07,ns,,,,,
"AXPY double 4D:/64/2",27,2.59111e+07,2.5636e+07,ns,,,,,
