Run on (4 X 3200 MHz CPU s)
2018-04-18 10:00:16
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"DOT float 1D:/4096/1",99391,6999.22,6976.92,ns,,,,,
"DOT float 1D:/4096/2",100063,6951.89,6933.24,ns,,,,,
"DOT float 1D:/65536/1",29876,23635.8,23575.3,ns,,,,,
"DOT float 1D:/65536/2",29612,23452.1,23391.5,ns,,,,,
"DOT float 1D:/1048576/1",1542,457994,454307,ns,,,,,
"DOT float 1D:/1048576/2",1549,459049,455308,ns,,,,,
"DOT float 1D:/16777216/1",91,7.79847e+06,7.56726e+06,ns,,,,,
"DOT float 1D:/16777216/2",91,7.82907e+06,7.73539e+06,ns,,,,,
"DOT float 2D:/64/1",99261,6898.11,6874.54,ns,,,,,
"DOT float 2D:/64/2",99228,6940.48,6921.9,ns,,,,,
"DOT float 2D:/256/1",29907,23385.5,23318.2,ns,,,,,
"DOT float 2D:/256/2",27749,24105,24002.9,ns,,,,,
"DOT float 2D:/1024/1",1561,454804,450795,ns,,,,,
"DOT float 2D:/1024/2",1558,455041,450684,ns,,,,,
"DOT float 2D:/4096/1",92,7.687e+06,7.60649e+06,ns,,,,,
"DOT float 2D:/4096/2",92,7.68164e+06,7.60889e+06,ns,,,,,
"DOT float 3D:/15/1",101416,6806.95,6778.93,ns,,,,,
"DOT float 3D:/15/2",104680,6736.08,6718.27,ns,,,,,
"DOT float 3D:/40/1",30431,22961.7,22896.6,ns,,,,,
"DOT float 3D:/40/2",30359,23022,22954.2,ns,,,,,
"DOT float 3D:/101/1",1614,438518,434625,ns,,,,,
"DOT float 3D:/101/2",1616,435846,431990,ns,,,,,
"DOT float 3D:/255/1",93,7.60298e+06,7.53032e+06,ns,,,,,
"DOT float 3D:/255/2",93,7.63182e+06,7.55896e+06,ns,,,,,
"DOT float 4D:/8/1",100430,6897.97,6882.79,ns,,,,,
"DOT float 4D:/8/2",100061,6920.08,6904.79,ns,,,,,
"DOT float 4D:/16/1",29855,23497,23438.9,ns,,,,,
"DOT float 4D:/16/2",28685,23612.3,23553.5,ns,,,,,
"DOT float 4D:/32/1",1586,448971,444630,ns,,,,,
"DOT float 4D:/32/2",1571,452376,448349,ns,,,,,
"DOT float 4D:/64/1",92,7.71079e+06,7.63697e+06,ns,,,,,
"DOT float 4D:/64/2",91,7.72584e+06,7.65221e+06,ns,,,,,
"DOT double 1D:/4096/1",101429,6889.4,6873.86,ns,,,,,
"DOT double 1D:/4096/2",100248,6899.58,6881.86,ns,,,,,
"DOT double 1D:/65536/1",29503,23712,23653.5,ns,,,,,
"DOT double 1D:/65536/2",29499,23740.9,23682.5,ns,,,,,
"DOT double 1D:/1048576/1",720,988593,979344,ns,,,,,
"DOT double 1D:/1048576/2",726,988776,979443,ns,,,,,
"DOT double 1D:/16777216/1",46,1.53218e+07,1.51768e+07,ns,,,,,
"DOT double 1D:/16777216/2",46,1.53332e+07,1.51848e+07,ns,,,,,
"DOT double 2D:/64/1",100290,6879.91,6864.77,ns,,,,,
"DOT double 2D:/64/2",100259,6916.17,6900.29,ns,,,,,
"DOT double 2D:/256/1",29716,23707.1,23648.5,ns,,,,,
"DOT double 2D:/256/2",29745,23710.9,23652.6,ns,,,,,
"DOT double 2D:/1024/1",702,984399,975180,ns,,,,,
"DOT double 2D:/1024/2",723,982608,971900,ns,,,,,
"DOT double 2D:/4096/1",46,1.5368e+07,1.52202e+07,ns,,,,,
"DOT double 2D:/4096/2",46,1.53287e+07,1.51831e+07,ns,,,,,
"DOT double 3D:/15/1",102962,6725.39,6710.33,ns,,,,,
"DOT double 3D:/15/2",103176,6738.9,6723.97,ns,,,,,
"DOT double 3D:/40/1",29987,23397.9,23340.2,ns,,,,,
"DOT double 3D:/40/2",29892,23537,23477.7,ns,,,,,
"DOT double 3D:/101/1",746,948838,939753,ns,,,,,
"DOT double 3D:/101/2",729,946805,938077,ns,,,,,
"DOT double 3D:/255/1",46,1.54606e+07,1.5297e+07,ns,,,,,
"DOT double 3D:/255/2",46,1.52852e+07,1.51416e+07,ns,,,,,
"DOT double 4D:/8/1",100666,6905.13,6889.21,ns,,,,,
"DOT double 4D:/8/2",100023,7078.98,7060.93,ns,,,,,
"DOT double 4D:/16/1",29526,23687.1,23628.8,ns,,,,,
"DOT double 4D:/16/2",28422,23750.5,23691.9,ns,,,,,
"DOT double 4D:/32/1",719,977519,968204,ns,,,,,
"DOT double 4D:/32/2",728,977923,968783,ns,,,,,
"DOT double 4D:/64/1",45,1.53081e+07,1.51611e+07,ns,,,,,
"DOT double 4D:/64/2",45,1.54004e+07,1.52464e+07,ns,,,,,
