Run on (4 X 3200 MHz CPU s)
2018-04-18 09:58:22
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"SQ float 1D:/4096/1",102081,6997.54,6940.84,ns,,,,,
"SQ float 1D:/4096/2",101358,6924.85,6901.55,ns,,,,,
"SQ float 1D:/65536/1",30192,23318.9,23256.3,ns,,,,,
"SQ float 1D:/65536/2",30014,23365.9,23308.6,ns,,,,,
"SQ float 1D:/1048576/1",2468,284042,282081,ns,,,,,
"SQ float 1D:/1048576/2",2491,285295,282882,ns,,,,,
"SQ float 1D:/16777216/1",147,4.80231e+06,4.76248e+06,ns,,,,,
"SQ float 1D:/16777216/2",130,4.80501e+06,4.76503e+06,ns,,,,,
"SQ float 2D:/64/1",101970,6880.65,6865.47,ns,,,,,
"SQ float 2D:/64/2",101507,6877.85,6862.29,ns,,,,,
"SQ float 2D:/256/1",30070,23422.7,23363.5,ns,,,,,
"SQ float 2D:/256/2",28750,23710.5,23636.9,ns,,,,,
"SQ float 2D:/1024/1",2442,332307,329140,ns,,,,,
"SQ float 2D:/1024/2",2483,285140,282971,ns,,,,,
"SQ float 2D:/4096/1",148,4.79669e+06,4.757e+06,ns,,,,,
"SQ float 2D:/4096/2",148,4.78833e+06,4.74825e+06,ns,,,,,
"SQ float 3D:/15/1",103751,6807.01,6789.59,ns,,,,,
"SQ float 3D:/15/2",103871,6679.95,6664.05,ns,,,,,
"SQ float 3D:/40/1",29157,22885,22828.2,ns,,,,,
"SQ float 3D:/40/2",30669,23015,22950.5,ns,,,,,
"SQ float 3D:/101/1",2540,279156,277197,ns,,,,,
"SQ float 3D:/101/2",2469,278231,276069,ns,,,,,
"SQ float 3D:/255/1",149,4.77478e+06,4.73561e+06,ns,,,,,
"SQ float 3D:/255/2",149,4.778e+06,4.73857e+06,ns,,,,,
"SQ float 4D:/8/1",101527,6889.31,6874.25,ns,,,,,
"SQ float 4D:/8/2",101112,6895.98,6880.83,ns,,,,,
"SQ float 4D:/16/1",30193,23543.8,23489,ns,,,,,
"SQ float 4D:/16/2",29883,23430.9,23268.3,ns,,,,,
"SQ float 4D:/32/1",2500,286082,284128,ns,,,,,
"SQ float 4D:/32/2",2498,288510,286515,ns,,,,,
"SQ float 4D:/64/1",146,4.78307e+06,4.74259e+06,ns,,,,,
"SQ float 4D:/64/2",148,4.79952e+06,4.76038e+06,ns,,,,,
"SQ double 1D:/4096/1",101616,7034.02,7018.62,ns,,,,,
"SQ double 1D:/4096/2",99273,6928.11,6913.12,ns,,,,,
"SQ double 1D:/65536/1",28898,23386.9,23331.4,ns,,,,,
"SQ double 1D:/65536/2",30082,23619.1,23562.3,ns,,,,,
"SQ double 1D:/1048576/1",1635,433655,429608,ns,,,,,
"SQ double 1D:/1048576/2",1649,429759,425323,ns,,,,,
"SQ double 1D:/16777216/1",98,7.24103e+06,7.1756e+06,ns,,,,,
"SQ double 1D:/16777216/2",98,7.2779e+06,7.16555e+06,ns,,,,,
"SQ double 2D:/64/1",101418,6901.31,6883.66,ns,,,,,
"SQ double 2D:/64/2",100659,6944.74,6927.99,ns,,,,,
"SQ double 2D:/256/1",29732,23309.4,23253.9,ns,,,,,
"SQ double 2D:/256/2",29950,23713.9,23651.3,ns,,,,,
"SQ double 2D:/1024/1",1639,430180,426200,ns,,,,,
"SQ double 2D:/1024/2",1644,427814,423813,ns,,,,,
"SQ double 2D:/4096/1",98,7.19795e+06,7.13248e+06,ns,,,,,
"SQ double 2D:/4096/2",98,7.23044e+06,7.12949e+06,ns,,,,,
"SQ double 3D:/15/1",104215,6751.23,6732.86,ns,,,,,
"SQ double 3D:/15/2",103103,6760.4,6745.42,ns,,,,,
"SQ double 3D:/40/1",29531,23461,23402.4,ns,,,,,
"SQ double 3D:/40/2",29576,22947.4,22892.4,ns,,,,,
"SQ double 3D:/101/1",1685,421939,418045,ns,,,,,
"SQ double 3D:/101/2",1685,421681,417798,ns,,,,,
"SQ double 3D:/255/1",99,7.12087e+06,7.056e+06,ns,,,,,
"SQ double 3D:/255/2",98,7.17515e+06,7.11174e+06,ns,,,,,
"SQ double 4D:/8/1",99742,6935.01,6919.64,ns,,,,,
"SQ double 4D:/8/2",99171,6958.08,6942.99,ns,,,,,
"SQ double 4D:/16/1",30051,23705,23646.9,ns,,,,,
"SQ double 4D:/16/2",29731,23527.7,23471.4,ns,,,,,
"SQ double 4D:/32/1",1596,432739,428740,ns,,,,,
"SQ double 4D:/32/2",1652,438622,435117,ns,,,,,
"SQ double 4D:/64/1",98,7.21194e+06,7.14772e+06,ns,,,,,
"SQ double 4D:/64/2",98,7.22095e+06,7.15425e+06,ns,,,,,
