Run on (4 X 3200 MHz CPU s)
2018-04-18 09:53:50
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"STENCIL CORE APPLY float 1D:/4096/1",53827,13142.2,13119,ns,,,,,
"STENCIL CORE APPLY float 1D:/4096/2",37485,18679.6,18650.9,ns,,,,,
"STENCIL CORE APPLY float 1D:/65536/1",6297,111880,111530,ns,,,,,
"STENCIL CORE APPLY float 1D:/65536/2",4254,167224,165927,ns,,,,,
"STENCIL CORE APPLY float 1D:/1048576/1",401,1.76598e+06,1.75321e+06,ns,,,,,
"STENCIL CORE APPLY float 1D:/1048576/2",270,2.61479e+06,2.60092e+06,ns,,,,,
"STENCIL CORE APPLY float 1D:/16777216/1",23,3.06737e+07,3.04414e+07,ns,,,,,
"STENCIL CORE APPLY float 1D:/16777216/2",14,5.15908e+07,5.12888e+07,ns,,,,,
"STENCIL CORE APPLY float 2D:/64/1",26037,27078.4,27038,ns,,,,,
"STENCIL CORE APPLY float 2D:/64/2",9983,69789.1,69685.1,ns,,,,,
"STENCIL CORE APPLY float 2D:/256/1",3053,229577,229000,ns,,,,,
"STENCIL CORE APPLY float 2D:/256/2",1214,589641,586513,ns,,,,,
"STENCIL CORE APPLY float 2D:/1024/1",191,3.67841e+06,3.66502e+06,ns,,,,,
"STENCIL CORE APPLY float 2D:/1024/2",66,1.09096e+07,1.08793e+07,ns,,,,,
"STENCIL CORE APPLY float 2D:/4096/1",9,7.60641e+07,7.57915e+07,ns,,,,,
"STENCIL CORE APPLY float 2D:/4096/2",4,1.66792e+08,1.66317e+08,ns,,,,,
"STENCIL CORE APPLY float 3D:/15/1",13891,50513.2,50439.9,ns,,,,,
"STENCIL CORE APPLY float 3D:/15/2",4584,152968,152749,ns,,,,,
"STENCIL CORE APPLY float 3D:/40/1",1051,661969,660291,ns,,,,,
"STENCIL CORE APPLY float 3D:/40/2",279,2.5077e+06,2.50178e+06,ns,,,,,
"STENCIL CORE APPLY float 3D:/101/1",63,1.11626e+07,1.11328e+07,ns,,,,,
"STENCIL CORE APPLY float 3D:/101/2",15,4.83902e+07,4.82653e+07,ns,,,,,
"STENCIL CORE APPLY float 3D:/255/1",4,1.85714e+08,1.85146e+08,ns,,,,,
"STENCIL CORE APPLY float 3D:/255/2",1,8.60254e+08,8.44352e+08,ns,,,,,
"STENCIL CORE APPLY float 4D:/8/1",7402,95208.1,95038.5,ns,,,,,
"STENCIL CORE APPLY float 4D:/8/2",4648,150741,150302,ns,,,,,
"STENCIL CORE APPLY float 4D:/16/1",541,1.27973e+06,1.27626e+06,ns,,,,,
"STENCIL CORE APPLY float 4D:/16/2",135,4.95825e+06,4.94688e+06,ns,,,,,
"STENCIL CORE APPLY float 4D:/32/1",24,2.85453e+07,2.84699e+07,ns,,,,,
"STENCIL CORE APPLY float 4D:/32/2",4,1.61426e+08,1.6104e+08,ns,,,,,
"STENCIL CORE APPLY float 4D:/64/1",1,5.1776e+08,5.16294e+08,ns,,,,,
"STENCIL CORE APPLY float 4D:/64/2",1,4.40527e+09,4.39463e+09,ns,,,,,
"STENCIL CORE APPLY double 1D:/4096/1",59714,11755.6,11739.9,ns,,,,,
"STENCIL CORE APPLY double 1D:/4096/2",39073,17399.9,17377.1,ns,,,,,
"STENCIL CORE APPLY double 1D:/65536/1",5712,120252,119943,ns,,,,,
"STENCIL CORE APPLY double 1D:/65536/2",4064,172398,171955,ns,,,,,
"STENCIL CORE APPLY double 1D:/1048576/1",340,2.0792e+06,2.05991e+06,ns,,,,,
"STENCIL CORE APPLY double 1D:/1048576/2",250,2.85093e+06,2.82865e+06,ns,,,,,
"STENCIL CORE APPLY double 1D:/16777216/1",23,3.00109e+07,2.97123e+07,ns,,,,,
"STENCIL CORE APPLY double 1D:/16777216/2",13,5.25377e+07,5.21341e+07,ns,,,,,
"STENCIL CORE APPLY double 2D:/64/1",26010,26975,26935,ns,,,,,
"STENCIL CORE APPLY double 2D:/64/2",9927,70179.5,70072.5,ns,,,,,
"STENCIL CORE APPLY double 2D:/256/1",2989,234024,233412,ns,,,,,
"STENCIL CORE APPLY double 2D:/256/2",1192,582970,581481,ns,,,,,
"STENCIL CORE APPLY double 2D:/1024/1",168,4.16865e+06,4.13696e+06,ns,,,,,
"STENCIL CORE APPLY double 2D:/1024/2",71,9.99896e+06,9.95938e+06,ns,,,,,
"STENCIL CORE APPLY double 2D:/4096/1",9,7.74039e+07,7.68511e+07,ns,,,,,
"STENCIL CORE APPLY double 2D:/4096/2",4,1.73638e+08,1.72915e+08,ns,,,,,
"STENCIL CORE APPLY double 3D:/15/1",13975,47211.2,47138.4,ns,,,,,
"STENCIL CORE APPLY double 3D:/15/2",4626,151360,151131,ns,,,,,
"STENCIL CORE APPLY double 3D:/40/1",1239,555900,554497,ns,,,,,
"STENCIL CORE APPLY double 3D:/40/2",329,2.13379e+06,2.12827e+06,ns,,,,,
"STENCIL CORE APPLY double 3D:/101/1",75,9.41647e+06,9.38159e+06,ns,,,,,
"STENCIL CORE APPLY double 3D:/101/2",17,4.11367e+07,4.10243e+07,ns,,,,,
"STENCIL CORE APPLY double 3D:/255/1",4,1.67339e+08,1.6629e+08,ns,,,,,
"STENCIL CORE APPLY double 3D:/255/2",1,8.32343e+08,8.29795e+08,ns,,,,,
"STENCIL CORE APPLY double 4D:/8/1",7351,96101.4,95927.3,ns,,,,,
"STENCIL CORE APPLY double 4D:/8/2",4638,151560,151332,ns,,,,,
"STENCIL CORE APPLY double 4D:/16/1",493,1.43126e+06,1.42757e+06,ns,,,,,
"STENCIL CORE APPLY double 4D:/16/2",125,5.48111e+06,5.46795e+06,ns,,,,,
"STENCIL CORE APPLY double 4D:/32/1",24,2.90054e+07,2.88939e+07,ns,,,,,
"STENCIL CORE APPLY double 4D:/32/2",4,1.69926e+08,1.69497e+08,ns,,,,,
"STENCIL CORE APPLY double 4D:/64/1",1,5.34108e+08,5.32079e+08,ns,,,,,
"STENCIL CORE APPLY double 4D:/64/2",1,4.75112e+09,4.73814e+09,ns,,,,,
