Run on (4 X 3200 MHz CPU s)
2018-04-18 09:55:17
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"STENCIL SHELL APPLY float 1D:/4096/1",1156837,608.156,605.104,ns,,,,,
"STENCIL SHELL APPLY float 1D:/4096/2",1048235,671.48,669.999,ns,,,,,
"STENCIL SHELL APPLY float 1D:/65536/1",1160020,606.762,604.722,ns,,,,,
"STENCIL SHELL APPLY float 1D:/65536/2",1036588,674.624,673.172,ns,,,,,
"STENCIL SHELL APPLY float 1D:/1048576/1",1150403,608.478,606.453,ns,,,,,
"STENCIL SHELL APPLY float 1D:/1048576/2",1042963,671.193,669.641,ns,,,,,
"STENCIL SHELL APPLY float 1D:/16777216/1",1157909,606.602,604.95,ns,,,,,
"STENCIL SHELL APPLY float 1D:/16777216/2",1046221,671.771,670.221,ns,,,,,
"STENCIL SHELL APPLY float 2D:/64/1",101462,6985.4,6970.15,ns,,,,,
"STENCIL SHELL APPLY float 2D:/64/2",30370,23204,23153.8,ns,,,,,
"STENCIL SHELL APPLY float 2D:/256/1",35131,20424.4,20378.6,ns,,,,,
"STENCIL SHELL APPLY float 2D:/256/2",8248,85662.6,85470,ns,,,,,
"STENCIL SHELL APPLY float 2D:/1024/1",4896,140766,140369,ns,,,,,
"STENCIL SHELL APPLY float 2D:/1024/2",1747,401839,400566,ns,,,,,
"STENCIL SHELL APPLY float 2D:/4096/1",1259,561589,559840,ns,,,,,
"STENCIL SHELL APPLY float 2D:/4096/2",434,1.64866e+06,1.64237e+06,ns,,,,,
"STENCIL SHELL APPLY float 3D:/15/1",7961,87873.9,87676.4,ns,,,,,
"STENCIL SHELL APPLY float 3D:/15/2",1112,624554,623080,ns,,,,,
"STENCIL SHELL APPLY float 3D:/40/1",1066,648848,647228,ns,,,,,
"STENCIL SHELL APPLY float 3D:/40/2",127,5.44175e+06,5.42917e+06,ns,,,,,
"STENCIL SHELL APPLY float 3D:/101/1",170,4.09851e+06,4.0875e+06,ns,,,,,
"STENCIL SHELL APPLY float 3D:/101/2",19,3.70571e+07,3.6926e+07,ns,,,,,
"STENCIL SHELL APPLY float 3D:/255/1",24,2.93197e+07,2.91874e+07,ns,,,,,
"STENCIL SHELL APPLY float 3D:/255/2",3,2.29744e+08,2.29032e+08,ns,,,,,
"STENCIL SHELL APPLY float 4D:/8/1",1020,674151,671999,ns,,,,,
"STENCIL SHELL APPLY float 4D:/8/2",109,6.44406e+06,6.42609e+06,ns,,,,,
"STENCIL SHELL APPLY float 4D:/16/1",113,6.2367e+06,6.21847e+06,ns,,,,,
"STENCIL SHELL APPLY float 4D:/16/2",9,8.05189e+07,8.03347e+07,ns,,,,,
"STENCIL SHELL APPLY float 4D:/32/1",13,5.49843e+07,5.40031e+07,ns,,,,,
"STENCIL SHELL APPLY float 4D:/32/2",1,7.42793e+08,7.40734e+08,ns,,,,,
"STENCIL SHELL APPLY float 4D:/64/1",2,4.5281e+08,4.51285e+08,ns,,,,,
"STENCIL SHELL APPLY float 4D:/64/2",1,6.77549e+09,6.75503e+09,ns,,,,,
"STENCIL SHELL APPLY double 1D:/4096/1",1170326,598.932,595.654,ns,,,,,
"STENCIL SHELL APPLY double 1D:/4096/2",1045411,677.047,675.3,ns,,,,,
"STENCIL SHELL APPLY double 1D:/65536/1",1169939,599.979,598.674,ns,,,,,
"STENCIL SHELL APPLY double 1D:/65536/2",1033864,678.397,676.509,ns,,,,,
"STENCIL SHELL APPLY double 1D:/1048576/1",1162407,601.509,600.147,ns,,,,,
"STENCIL SHELL APPLY double 1D:/1048576/2",1031338,671.568,669.556,ns,,,,,
"STENCIL SHELL APPLY double 1D:/16777216/1",1173639,598.582,597.286,ns,,,,,
"STENCIL SHELL APPLY double 1D:/16777216/2",1038153,676.1,674.283,ns,,,,,
"STENCIL SHELL APPLY double 2D:/64/1",92458,6949.84,6934.26,ns,,,,,
"STENCIL SHELL APPLY double 2D:/64/2",30044,24918,24843.8,ns,,,,,
"STENCIL SHELL APPLY double 2D:/256/1",33644,20904.3,20767.4,ns,,,,,
"STENCIL SHELL APPLY double 2D:/256/2",8198,87164.3,86919.1,ns,,,,,
"STENCIL SHELL APPLY double 2D:/1024/1",4980,136239,135815,ns,,,,,
"STENCIL SHELL APPLY double 2D:/1024/2",1662,414942,413618,ns,,,,,
"STENCIL SHELL APPLY double 2D:/4096/1",1220,570924,568899,ns,,,,,
"STENCIL SHELL APPLY double 2D:/4096/2",425,1.80343e+06,1.7955e+06,ns,,,,,
