Time [s],Rank 27,Rank 5,Rank 14,Rank 19,Rank 1,Rank 20,Rank 8,Rank 25,Rank 12,Rank 17,Rank 31,Rank 4,Rank 23,Rank 0,Rank 28,Rank 10,Rank 7,Rank 15,Rank 21,Rank 3,Rank 26,Rank 13,Rank 18,Rank 6,Rank 24,Rank 29,Rank 11,Rank 2,Rank 16,Rank 30,Rank 9,Rank 22
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.001009819,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
0.001075647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
0.001129936,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
0.001171528,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.001227761,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
0.001289405,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.001335295,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
0.001337947,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
0.001344066,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
0.001409838,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
0.001610384,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
0.001700649,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.002203844,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
0.002405687,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
0.00263213,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
0.002716584,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.004276949,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
0.004398925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
0.004441409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
0.004479117,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
0.004683819,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
0.005346598,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
0.005442906,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
0.005471536,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.005837686,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
