Time [s],Rank 27,Rank 5,Rank 14,Rank 19,Rank 1,Rank 20,Rank 8,Rank 25,Rank 12,Rank 17,Rank 31,Rank 4,Rank 23,Rank 0,Rank 28,Rank 10,Rank 7,Rank 15,Rank 21,Rank 3,Rank 26,Rank 13,Rank 18,Rank 6,Rank 24,Rank 29,Rank 11,Rank 2,Rank 16,Rank 30,Rank 9,Rank 22
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.917e-06,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.207e-06,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.227e-06,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
3.267e-06,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
3.368e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
3.388e-06,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
3.398e-06,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
3.418e-06,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
3.488e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
3.498e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
3.518e-06,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
3.578e-06,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
3.618e-06,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
3.638e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
3.639e-06,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
3.668e-06,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
3.698e-06,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
3.718e-06,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.738e-06,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3.769e-06,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,
3.789e-06,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
3.808e-06,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
3.919e-06,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.939e-06,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
3.949e-06,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
4.129e-06,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.313e-06,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
8.63e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
8.77e-06,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
9.281e-06,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
9.943e-06,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
0.039790309,,,,,,,,,,,,,,,,,,,,,,,0.808307383133065,,,,,,,,,
0.040944878,,,,,,,,,,,,,0.808307383133065,,,,,,,,,,,,,,,,,,,
0.041170617,,,,,,,,,,,,,,,,,,,,,,,,,0.808307383133065,,,,,,,
0.041817118,,,,,,,,,,,,,,,,,,,,,,,,,,,0.808307383133065,,,,,
0.042582623,,,,,,,,0.808307383133065,,,,,,,,,,,,,,,,,,,,,,,,
0.042603629,,,,,,,,,0.808307383133065,,,,,,,,,,,,,,,,,,,,,,,
0.04268564,,,,,,,,,,,,,,,,,,,,0.808307383133065,,,,,,,,,,,,
0.042721201,,,,,,,0.808307383133065,,,,,,,,,,,,,,,,,,,,,,,,,
0.042787733,,,,,,,,,,,,,,,,,,,,,,0.808307383133065,,,,,,,,,,
0.042828255,,,,,,,,,,,0.808307383133065,,,,,,,,,,,,,,,,,,,,,
0.042874888,,,,,,,,,,,,,,,,,,,,,,,,,,0.808307383133065,,,,,,
0.042891053,,,,,,,,,,,,,,,0.808307383133065,,,,,,,,,,,,,,,,,
0.042898141,,0.808307383133065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.042899041,,,,,,0.808307383133065,,,,,,,,,,,,,,,,,,,,,,,,,,
0.042917335,,,,,,,,,,,,,,,,,,,0.808307383133065,,,,,,,,,,,,,
0.042934494,,,,,0.808307383133065,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.042935765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.808307383133065,
0.042949176,,,,,,,,,,,,,,,,,,,,,,,,0.808307383133065,,,,,,,,
0.042966035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.808307383133065,,,
0.042966897,0.808307383133065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.042975598,,,,,,,,,,0.808307383133065,,,,,,,,,,,,,,,,,,,,,,
0.043019377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.808307383133065,,
0.043040995,,,,,,,,,,,,,,,,,,0.808307383133065,,,,,,,,,,,,,,
0.043046245,,,,,,,,,,,,0.808307383133065,,,,,,,,,,,,,,,,,,,,
0.043050003,,,,,,,,,,,,,,,,,0.808307383133065,,,,,,,,,,,,,,,
0.04306653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.808307383133065
0.043088873,,,0.808307383133065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.043128947,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.808307383133065,,,,
0.043168791,,,,,,,,,,,,,,,,0.808307383133065,,,,,,,,,,,,,,,,
0.043177715,,,,0.808307383133065,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.043183919,,,,,,,,,,,,,,,,,,,,,0.808307383133065,,,,,,,,,,,
0.043412042,,,,,,,,,,,,,,0.808307383133065,,,,,,,,,,,,,,,,,,
0.062525005,,,,,,,,,,,,,,,,,,,,,,,0.778100727139971,,,,,,,,,
0.063477411,,,,,,,,,,,,,0.778100727139971,,,,,,,,,,,,,,,,,,,
0.063727608,,,,,,,,,,,,,,,,,,,,0.778100727139971,,,,,,,,,,,,
0.064081173,,,,,,,,,,,,,,,,,,,,,,,,,0.778100727139971,,,,,,,
0.064925879,,,,,,,,,,,,,,,,,,,,,,,,,,,0.778100727139971,,,,,
0.065630268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.778100727139971
0.065691118,,,,,,,,,0.778100727139971,,,,,,,,,,,,,,,,,,,,,,,
0.065806011,,,,,,,,,,,,,,0.778100727139971,,,,,,,,,,,,,,,,,,
0.065825877,,,,,,,,0.778100727139971,,,,,,,,,,,,,,,,,,,,,,,,
0.065832385,,,,,,,,,,,0.778100727139971,,,,,,,,,,,,,,,,,,,,,
0.065840353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.778100727139971,,
0.065872128,,,,,,,,,,,,,,,0.778100727139971,,,,,,,,,,,,,,,,,
0.065913589,,,,,0.778100727139971,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.065936973,,0.778100727139971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.065939065,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.778100727139971,,,,
0.065958442,,,,,,,,,,,,,,,,,,,,,,0.778100727139971,,,,,,,,,,
0.06597609,,,,,,,,,,,,,,,,,,,,,0.778100727139971,,,,,,,,,,,
0.065985774,,,,,,,,,,,,,,,,,,,,,,,,,,0.778100727139971,,,,,,
0.065997177,0.778100727139971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.066014328,,,,,,,,,,,,,,,,,,0.778100727139971,,,,,,,,,,,,,,
0.066017148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.778100727139971,,,
0.066033011,,,,,,,,,,,,0.778100727139971,,,,,,,,,,,,,,,,,,,,
0.066048384,,,,,,,0.778100727139971,,,,,,,,,,,,,,,,,,,,,,,,,
0.066066521,,,,0.778100727139971,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.066071961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.778100727139971,
0.06610651,,,,,,,,,,,,,,,,0.778100727139971,,,,,,,,,,,,,,,,
0.066124506,,,,,,,,,,,,,,,,,,,0.778100727139971,,,,,,,,,,,,,
