Time [s],Rank 5,Rank 1,Rank 4,Rank 0,Rank 7,Rank 3,Rank 6,Rank 2
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.001043993,,,,,,1.0,,
0.001175256,,1.0,,,,,,
0.001217914,1.0,,,,,,,
0.001625808,,,,1.0,,,,
0.001809668,,,,,,,,1.0
0.00268937,,,,,1.0,,,
0.003437784,,,,,,,1.0,
0.00694811,,,1.0,,,,,
0.061143439,,,,,,,,1.0
0.063326922,,,,,,1.0,,
0.064975221,,,,,1.0,,,
0.06571581,,,1.0,,,,,
0.066924256,1.0,,,,,,,
0.069072179,,,,1.0,,,,
0.070724647,,,,,,,1.0,
0.071295523,,1.0,,,,,,
0.111063427,,,,,,,,0.761120614967462
0.111630554,0.761120614967462,,,,,,,
0.113386375,,,,,0.761120614967462,,,
0.115329579,,,,,,,0.761120614967462,
0.115599879,,,0.761120614967462,,,,,
0.119974185,,,,,,0.761120614967462,,
0.124161941,,,,0.761120614967462,,,,
0.12495591,,0.761120614967462,,,,,,
0.181530489,,,,,,,0.750810201373162,
0.182867068,,,,,,,,0.750810201373162
0.184523159,,,,,0.750810201373162,,,
0.184724348,0.750810201373162,,,,,,,
0.193975572,,,0.750810201373162,,,,,
0.196372774,,,,,,0.750810201373162,,
0.197611914,,,,0.750810201373162,,,,
0.198491148,,0.750810201373162,,,,,,
0.243705273,,,,,,,,0.723787542212662
0.258368928,,,,,0.723787542212662,,,
0.259293271,,,,,,0.723787542212662,,
0.26197663,0.723787542212662,,,,,,,
0.262949707,,,,,,,0.723787542212662,
0.266712702,,,0.723787542212662,,,,,
0.268684936,,,,0.723787542212662,,,,
0.271413035,,0.723787542212662,,,,,,
0.390335615,,,,,,,0.700382910291396,
0.396879638,,,0.700382910291396,,,,,
0.479597769,0.700382910291396,,,,,,,
0.490678673,,,,,0.700382910291396,,,
0.505512795,,,,0.700382910291396,,,,
0.512359406,,0.700382910291396,,,,,,
0.614928812,,,,,,,,0.700382910291396
